key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint16,bool,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,single,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,uint16,int64,byte,int64,byte,uint32,byte,bool,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint16,byte,bool,uint16
10000,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10001,783,False,65538,65565,65593,65572,65586,65588,65589,65590,65594,65614,65646,65619,720911,65648,720905,720906,720907,65684,65736,65742,65768,65950,65560,65775,65776,65631,65692,1179648,65978,0,66222,66200,1,0,1,0,1,50,1,1,8,1,152,38,4,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,524291,10,524291,10,3080195,10,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10002,783,False,65538,65614,589824,65619,65717,720942,720897,66242,65736,65775,1179649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,50,1,1,1,1,152,71,4,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,"1502, 2, 1, 0",0,"0, 0, 0, 0",0,65538,0,False,65538,0,65538,0,65538,0,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10003,783,False,262145,0,0,0,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,50,1,1,1,1,152,57,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65538,0,False,65538,0,65538,0,65538,0,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10004,783,False,262144,0,0,0,0,0,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,50,3,1,1,1,162,27,36,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,467753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10005,791,False,65538,720902,720908,589826,720915,65736,720979,720936,65550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,50,6,1,1,1,184,116,12,0,0,0,0,116,0,0,0,0,0,0,1,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65576,0,False,65576,0,65576,0,65576,0,65576,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10006,783,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,50,1,1,1,1,152,71,4,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65542,0,False,65538,0,65576,0,65538,0,65576,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10007,783,False,65538,393216,0,0,65991,65994,65996,65997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,50,9,1,1,1,42,71,37,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65538,0,False,65572,0,65576,0,65542,0,65576,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10008,783,False,65538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,50,1,1,1,1,152,71,4,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65576,0,False,65576,0,65576,0,65576,0,65542,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10009,783,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65576,0,False,65572,0,65572,0,65572,0,65542,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10010,783,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65576,0,False,65542,0,65538,0,65542,0,65542,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
10011,783,False,589835,0,66088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65542,0,False,65538,0,65576,0,65538,0,65542,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
