key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,,,,,,,,,,,,,,
int32,uint16,byte,byte,byte,single,uint16,uint16,uint16,uint16,byte,int32,byte,bool,bool
0,0,4,0,0,1,0,0,0,0,0,0,0,True,True
1,0,4,0,0,1,0,0,0,0,0,851980,0,True,True
2,0,4,0,0,1,1,0,0,0,0,851976,0,True,True
3,0,4,0,0,1.2,3,0,0,0,0,852023,0,True,True
4,0,4,0,0,1.3,2,0,0,0,0,852053,0,True,True
5,0,4,0,0,1.2,4,0,0,0,0,851987,0,True,True
6,0,4,0,0,1.2,5,0,0,0,0,851994,0,True,True
7,0,4,0,0,2,6,0,0,0,0,851997,0,True,True
8,0,4,0,0,2,7,0,0,0,0,0,0,True,True
9,0,4,0,0,1,8,0,0,0,0,851984,0,True,True
10,0,4,0,0,1.5,9,0,0,0,0,851978,0,True,True
11,0,4,0,0,2,10,0,0,0,0,0,0,True,True
12,0,4,0,0,1.5,11,0,0,0,0,851973,0,True,True
13,0,4,0,0,1.5,12,0,0,0,0,0,0,True,True
14,0,4,0,0,0.9,13,0,0,0,0,851969,0,True,True
15,0,4,0,0,1.2,14,0,0,0,0,851995,0,True,True
16,0,4,0,0,1.2,15,0,0,0,0,851972,0,True,True
17,0,4,0,0,2,16,0,0,0,0,851971,0,True,True
18,0,4,0,0,1,0,81,462,0,0,851985,0,True,True
19,0,4,0,0,1,0,82,463,0,0,852075,0,True,True
20,0,4,0,0,1.5,19,0,416,0,0,851992,0,True,True
21,0,4,0,0,1.5,20,0,0,0,0,852040,0,True,True
22,0,4,0,0,2,21,0,0,0,0,851983,0,True,True
23,0,4,0,0,2,22,0,0,0,0,852024,0,True,True
24,0,4,0,0,1,23,0,0,0,0,852044,0,True,True
25,0,4,0,0,1,24,0,0,0,0,0,0,True,True
26,0,4,0,0,1.5,25,0,0,0,0,852030,0,True,True
27,0,4,0,0,1.5,26,0,0,0,0,0,0,True,True
28,0,4,0,0,1.5,27,0,0,0,0,852074,0,True,True
29,0,4,0,0,1.5,28,0,422,0,0,0,0,True,True
30,0,4,0,0,2,29,0,0,0,0,0,0,True,True
31,0,4,0,0,1,30,0,418,0,0,0,0,True,True
32,0,4,0,0,0.5,31,0,0,0,0,851988,0,True,True
33,0,4,0,0,1,32,0,0,0,0,852026,0,True,True
34,0,4,0,0,1,33,0,0,0,0,0,0,True,True
35,0,4,0,0,1.5,34,0,0,0,0,0,0,True,True
36,0,4,0,0,2,35,0,0,0,0,0,0,True,True
37,0,4,0,0,2,36,0,0,0,0,851975,0,True,True
38,0,4,0,0,2,37,0,0,0,0,852021,0,True,True
39,0,4,0,0,2,38,0,0,0,0,851979,0,True,True
40,0,4,0,0,2,39,0,0,0,0,0,0,True,True
41,0,4,0,0,1,40,0,0,0,0,852025,0,True,True
42,0,4,0,0,1.2,42,0,0,0,0,852032,0,True,True
43,0,4,0,0,2,43,0,0,0,0,851977,0,True,True
44,0,4,0,0,2,44,0,0,0,0,852022,0,True,True
45,0,4,0,0,1,45,0,0,0,0,851989,0,True,True
46,0,4,0,0,1,46,0,0,0,0,0,0,True,True
47,0,4,0,0,1.5,47,0,0,0,0,851970,0,True,True
48,0,4,0,0,1.5,48,0,0,0,0,0,0,True,True
49,0,4,0,0,2,67,0,0,0,0,851993,0,True,True
50,0,4,0,0,1.5,28,0,422,0,0,0,0,True,True
51,0,4,0,0,1.5,28,0,422,0,0,0,0,True,True
52,0,4,0,0,1,52,0,319,0,0,852000,0,True,True
53,0,4,0,0,1,55,0,0,0,0,0,0,True,True
54,0,4,0,0,1,0,2,366,0,0,0,0,True,True
55,0,4,0,0,1,0,36,379,0,0,0,0,True,True
56,0,4,0,0,1,0,36,379,0,0,0,0,True,True
57,0,4,0,0,1,41,0,0,0,0,851974,0,True,True
58,0,4,0,0,1,53,0,0,0,0,0,0,True,True
59,0,4,0,0,1,54,0,0,0,0,852046,0,True,True
60,0,4,0,0,1.1,0,36,379,0,0,0,0,True,True
61,0,4,0,0,1,0,37,380,0,0,0,0,True,True
