key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte
0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,3742,1,0,1,0,1,4650,1,0,1,0,1,1958,1,0,1,0,1,2468,1,0,1,0,1,2631,1,0,1,0,1,2442,1,0,1,0,1,3307,1,0,1,0,1,2546,1,0,1,0,1,5106,10,0,1,0,1,5509,10,0,1,0,1,100,1,101,1,102,1
2,1891,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3740,1,3516,1,0,1,1681,1,0,1,0,1,3308,1,3515,1,0,1,2355,1,1602,1,0,1,0,1,0,1,0,1,5050,10,0,1,0,1,103,1,104,1,0,1
3,1820,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3741,1,3959,1,3960,1,2056,1,0,1,0,1,2996,1,2997,1,3275,1,2380,1,1750,1,0,1,5488,10,0,1,0,1,5380,10,0,1,0,1,105,1,0,1,0,1
4,3763,1,0,1,0,1,4716,1,0,1,0,1,0,1,0,1,0,1,2494,1,0,1,0,1,3530,1,2653,1,3761,1,0,1,0,1,0,1,2961,1,3276,1,3274,1,2430,1,2315,1,0,1,0,1,0,1,0,1,4828,10,0,1,0,1,106,1,107,1,0,1
5,2456,1,0,1,0,1,4696,1,4639,1,4660,1,2143,1,4564,3,0,1,2226,1,0,1,0,1,3310,1,4304,1,3762,1,2106,1,4091,1,4305,1,2959,1,2960,1,2652,1,2328,1,2341,1,2367,1,5432,10,0,1,0,1,5396,10,5516,10,0,1,108,1,109,1,110,1
6,1996,1,1821,1,0,1,4745,1,0,1,0,1,4565,3,0,1,0,1,3011,1,0,1,0,1,3531,1,3766,1,3534,1,4197,1,0,1,0,1,2999,1,3533,1,3001,1,2481,1,2507,1,0,1,5107,10,0,1,0,1,5351,10,5534,10,0,1,111,1,112,1,113,1
7,1892,1,0,1,0,1,4658,1,0,1,0,1,0,1,0,1,0,1,3767,1,0,1,0,1,1682,1,4092,1,0,1,4421,1,4422,1,0,1,3532,1,3963,1,3010,1,1603,1,2392,1,1751,1,0,1,0,1,0,1,4809,10,0,1,0,1,114,1,115,1,0,1
8,1997,1,2572,1,0,1,4689,1,4657,1,0,1,1959,1,2144,1,0,1,2662,1,2656,1,0,1,3764,1,2654,1,3765,1,2443,1,4306,1,0,1,3314,1,3008,1,3313,1,2520,1,2417,1,0,1,5433,10,0,1,0,1,5383,10,0,1,0,1,116,1,118,1,117,1
9,2228,1,0,1,0,1,4659,1,4673,1,0,1,0,1,0,1,0,1,2469,1,3540,1,0,1,3769,1,3768,1,3536,1,4307,1,2107,1,0,1,3317,1,3315,1,3014,1,1752,1,2329,1,0,1,5124,10,0,1,0,1,5402,10,4803,10,0,1,0,1,0,1,0,1
