key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,int32,byte,byte,uint32,uint32,uint16,uint16,uint16,int32,int32,int32,int32,uint32,byte,byte,byte,str,str,str,str,str,str
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
100,3,4082321,1,1,0,0,0,0,0,0,0,0,0,4082423,33,34,35,"","","","","",""
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"aaaa","","","","",""
103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"エリア防衛","エリア防衛","","","",""
105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"山賊砦テスト","山賊砦テスト","","","",""
106,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"収集系テスト","収集系テスト","","","",""
107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"山賊砦ボス","山賊砦ボス","","","",""
108,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"山賊砦味方防衛","山賊砦味方防衛","","","",""
109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"りんご集め","りんご集め","","納品した数","",""
110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
111,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
112,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
114,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
116,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
117,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
118,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,"","","","","",""
120,1,3824577,5,10,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Clever Girls","The anoles of Naked Rock have ventured forth from their territory to hunt. Eliminate the pack before they begin feeding on the smallfolk!","","","",""
121,1,3841494,4,9,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"One Enchanted Eve","Some foul sorceress has enchanted the forest's funguars, transforming them into man-eating menaces!","","","",""
122,1,3841592,30,35,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"スプリガンのお引っ越し","Ever in search of scrumptious stones, a pack of spriggans has descended into the forest. Join the Wood Wailers to send the scamps back whence they came!","","","",""
123,1,3852456,8,13,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Something in the Water","Aetherial corruption has rendered one of the forest's water sprites extremely violent. Slay the creature before it harms the smallfolk!","","","",""
124,1,3841343,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"The Sting","Aggressive hornet swarms nesting near Lilystone are preventing the smallfolk from tending to their daily tasks. Exterminate the pests and bring peace to the area!","","","",""
125,1,3854646,34,39,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Asipatra Attacks","Once believed only a creature of legend, the terrible winged Asipatra has been spotted in the Twelveswood. Slay the monster before he can claim any victims.","","","",""
126,1,3872317,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Leader of the Pack","A new alpha male has emerged within the local pack of anoles, emboldening the lesser beasts. The leader must be slain before the pack grows even more deadly.","","","",""
127,1,3872319,8,13,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"A Mother Scorned","After losing several of their hoglets to the Trappers' League, massive wild sows have become overtaken with rage, gouging everything and anything that moves. To ensure the area's safety, the beasts must be put down.","","","",""
128,1,3872330,9,14,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Alux of the Draw","A markedly mischievous monster known as Alux has been spotted hiding in Spirithold. Ambush the voidsent, and slay him before he can escape.","","","",""
129,0,0,10,15,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：船着場までチョコボの護衛（仮）","※β1不要：船着場までチョコボを護衛せよ（仮）","","","",""
130,2,3689344,14,19,2000193,3868020,1,0,0,60723,60503,0,3868020,0,33,34,35,"エバーシェイドの収穫祭","The Guardian Tree has begun to bear fruit, but it must be gathered quickly before greedy galagos hoard it all.","Deliver the thousand-year plums to the Greatloam Growery botanist before they are further bruised.","Thousand-year plums collected: ","",""
131,1,3872331,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Lethe on My Mind","The Matron's Lethe serves as an important thoroughfare for merchants and travelers, and to ensure they arrive safely at their destinations, the area must be kept clear of deadly predators.","","","",""
132,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：採掘場奪取","※β1不要：","","","",""
133,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：採掘場奪取","※β1不要：","","","",""
134,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：採掘場防衛","※β1不要：","","","",""
135,0,0,35,40,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：採掘場防衛","※β1不要：","","","",""
136,4,3867428,5,10,0,0,0,0,0,60724,60504,0,3895606,0,33,34,35,"Training Day","Assist a new recruit to the Order of the Twin Adder who has found himself outmatched in a training exercise with his commanding officer, Miraudont the Madder.","","","",""
137,1,3852490,13,18,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Bleeding Green","Help prevent the spread of leafbleed─a sickness causing the death of local foliage─by slaying Matagaigai, an overgrown landtrap known to carry the bane.","","","",""
138,1,3852555,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Tastes Like Chick","Several chocobo chicks have escaped from Bentbranch Meadows and now are in danger of being eaten by carnivorous tree slugs. Defeat the slugs before they can fill their bellies!","","","",""
139,1,3852559,12,17,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Sleep Tight","Someone or something has awakened souls laid to rest long ago in the Tam-Tara Deepcroft, and now the restless revenants seek blood!","","","",""
140,1,3852575,10,15,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Spirithold Run","A cadre of Spirithold-dwelling imps is planning a mass exodus into the Twelveswood to make their merry mischief. Trap them in the abandoned dungeon and see that they never leave.","","","",""
141,1,3852600,11,16,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"Love Is in the Air","Scores of diremites have crawled from their nest holes and gathered near Galvanth's Spire to search for mates. Join forces with the local Wood Wailer guard and see that the vilekin die spouseless.","","","",""
142,1,3852613,14,19,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"There's Something About Lou","A giant slug known by the playful moniker Lou Carcolh has been seen near the Guardian Tree. Slay the beast before he consumes the sacred monument.","","","",""
143,4,3867430,11,16,0,0,12,0,0,60724,60504,0,3895962,0,33,34,35,"Now I See Bees I Won","Honey-seeking imps are killing off peaceful bees, and if the malevolent monsters are not stopped soon, honey production in the Twelveswood could suffer a serious blow.","","Honeybee swarms remaining: ","",""
144,1,3877977,16,21,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"Royal Rumble","The Prince of Pestilence has been spotted spreading corruption in the area. Slay His Royal Repugnance.","","","",""
145,1,3877979,19,24,0,0,0,0,0,60721,60501,0,0,0,33,34,35,"戦場までは何マルム？","暗黙の境界線をまたぎ
侵入してきた帝国兵を追い散らすのだ
IIIコホルス・ベスティアリウスを倒せ","","","",""
146,1,0,45,50,0,0,0,0,0,60722,60502,115,0,0,33,34,35,"※β1不要：シルフの隊長撃破","※β1不要：","","","",""
147,0,0,25,30,0,0,0,0,0,0,0,0,0,0,33,34,35,"※β1不要：蜂蜜酒輸送護衛","※β1不要：","","","",""
