key,0,1,2
#,,,
int32,int32,uint16,byte
0,2897,1,1
1,3220,2,1
2,3458,3,1
3,3682,4,1
4,3889,5,1
5,2898,6,1
6,3221,7,1
7,3459,8,1
8,3683,9,1
9,3890,10,1
10,2899,11,1
11,3222,12,1
12,3460,13,1
13,3684,14,1
14,3891,15,1
15,2900,16,1
16,3223,17,1
17,3461,18,1
18,3685,19,1
19,3892,20,1
20,2901,21,1
21,3224,22,1
22,3462,23,1
23,3686,24,1
24,3893,25,1
25,2902,26,1
26,3225,27,1
27,3463,28,1
28,3687,29,1
29,3894,30,1
30,2903,31,1
31,3226,32,1
32,3464,33,1
33,3690,34,1
34,3895,35,1
35,2645,1,2
36,2646,2,2
37,2647,3,2
38,2648,4,2
39,4301,5,2
40,4302,6,2
41,4303,7,2
42,4200,8,2
43,2659,9,2
44,2707,10,2
45,2751,11,2
46,2809,12,2
47,2671,13,2
48,4404,14,2
49,4407,15,2
50,4406,16,2
51,4405,17,2
52,4408,18,2
53,2973,19,2
54,2974,20,2
55,2975,21,2
56,2976,22,2
57,2977,23,2
58,2978,24,2
59,2979,25,2
60,2980,26,2
61,2981,27,2
62,2982,28,2
63,3286,29,2
64,3287,30,2
65,3288,31,2
66,3289,32,2
67,3290,33,2
68,3291,34,2
69,3292,35,2
70,3293,36,2
71,3294,37,2
72,3295,38,2
73,2638,39,2
74,2639,40,2
75,2640,41,2
76,2641,42,2
77,2643,43,2
78,2966,44,2
79,4199,45,2
80,4319,5,4
81,2967,46,2
82,2968,47,2
83,2969,48,2
84,2970,49,2
85,2971,50,2
86,2972,51,2
87,3280,52,2
88,3281,53,2
89,3282,54,2
90,3283,55,2
91,3284,56,2
92,3285,57,2
93,3748,58,2
94,3749,59,2
95,2773,6,4
96,3323,7,4
97,2752,8,4
98,2649,9,4
99,4287,10,4
100,2907,1,3
101,2908,2,3
102,2909,3,3
103,2910,4,3
104,2326,5,3
105,2353,6,3
106,2378,7,3
107,2403,8,3
108,2428,9,3
109,2454,10,3
110,2479,11,3
111,2505,12,3
112,2531,13,3
113,2557,14,3
114,2583,15,3
115,2222,16,3
116,2223,17,3
117,2221,18,3
118,4274,19,3
119,4275,20,3
120,4276,21,3
121,4517,22,3
122,4518,23,3
123,4519,24,3
124,2784,25,3
125,2914,26,3
126,0,0,0
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,0,0,0
138,0,0,0
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,2632,1,4
151,2637,2,4
152,3519,3,4
153,3744,4,4
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,0
171,0,0,0
172,0,0,0
173,0,0,0
174,0,0,0
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
187,0,0,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
