key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint16,str,str,byte,uint16,byte,byte,int32,uint16,uint32,byte,byte,byte,byte,byte,byte,bool,byte,uint32,uint16,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16
0,60,"","",0,0,1,100,0,18,0,0,0,0,0,0,0,True,1,0,0,0,65536,0,0,0,0,0,0
1,90,"the Thousand Maws of Toto–Rak","Named after a man-eating creature from ancient Padjali folklore, the Thousand Maws of Toto--Rak was built on the site of a natural cave system beneath Silent Arbor. Until recently, it held all of Gridania's foulest criminals, from arsonists to poachers, but the completion of a new gaol closer to the city heralded its abandonment.",2,0,23,25,0,18,22,0,4,1,1,1,1,True,3,169,0,0,65536,0,0,444,1200,1203,5
2,90,"the Tam–Tara Deepcroft","the Tam--Tara Deepcroft",2,0,16,18,0,18,17,0,4,1,1,1,1,True,4,164,0,0,65536,1003,1004,73,1000,1004,2
3,90,"Coperbell Mines","Coperbell Mines",2,0,17,19,0,18,177,0,4,1,1,1,1,True,3,161,0,0,65536,2704,2705,101,2700,2705,3
4,90,"Sastasha","Sastasha",2,0,15,17,0,18,174,0,4,1,1,1,1,True,4,157,0,0,65536,2504,2505,1206,2500,2505,1
5,90,"the Aurum Vale","the Aurum Vale",2,0,45,50,0,18,0,0,8,2,2,2,2,True,3,172,0,0,65536,0,0,0,2900,2903,10
6,90,"Haukke Manor","Haukke Manor",2,0,29,31,0,18,18,0,4,1,1,1,1,True,3,166,0,0,65536,0,0,422,1100,1103,6
7,90,"Halatali","Halatali",2,0,20,22,0,18,180,0,4,1,1,1,1,True,3,162,0,0,65536,0,0,1197,2405,2407,4
8,90,"Brayflox's Longstop","Brayflox's Longstop",2,0,32,34,0,18,183,0,4,1,1,1,1,True,4,158,0,0,65536,0,0,1279,2400,2403,7
9,30,"The Sunken Temple of Qarn","The Sunken Temple of Qarn",2,0,40,45,0,18,0,0,8,2,2,2,2,True,1,163,0,0,65536,0,0,0,0,0,9
10,90,"The Wanderer's Palace","The Wanderer's Palace",2,0,35,37,0,18,0,0,4,1,1,1,1,True,1,159,0,0,65536,0,0,0,0,0,8
11,90,"","",2,0,41,43,0,18,0,0,4,1,1,1,1,True,1,168,0,0,65536,0,0,0,0,0,0
