key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,,,,,,,,,,,,,,,,,,,
int32,int32,byte,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte
0,0,5,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
1,0,5,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
2,0,10,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
3,1,10,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
4,2,5,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
5,3,10,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
6,2,10,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
7,2,10,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
8,3,10,0,402,255,401,255,0,255,0,255,0,255,0,255,0,255,0,255
9,3,10,0,404,255,403,255,0,255,0,255,0,255,0,255,0,255,0,255
10,2,10,0,115,255,135,255,112,255,114,255,0,255,0,255,0,255,4,255
11,2,5,0,134,255,130,255,129,255,105,255,0,255,0,255,2,255,3,255
12,2,5,0,134,255,130,255,129,255,0,255,0,255,0,255,0,255,4,255
13,2,5,0,131,255,117,255,138,255,0,255,0,255,19,255,0,255,4,255
14,3,15,0,152,255,193,255,151,255,195,255,0,255,0,255,0,255,6,255
15,2,10,0,104,255,122,255,103,255,0,255,0,255,20,255,0,255,4,255
16,2,10,0,104,255,122,255,103,255,113,255,0,255,0,255,0,255,3,255
17,2,15,0,109,255,120,255,0,255,0,255,0,255,0,255,0,255,3,255
18,3,15,0,147,255,204,255,144,255,0,255,0,255,0,255,0,255,6,255
19,3,15,0,186,255,172,255,163,255,0,255,0,255,0,255,0,255,3,255
20,1,40,0,81,255,0,255,0,255,0,255,0,255,0,255,0,255,3,255
21,3,15,0,146,255,208,255,197,255,156,255,0,255,0,255,0,255,3,255
22,2,20,0,126,255,133,255,132,255,0,255,0,255,0,255,0,255,3,255
23,3,20,0,150,255,181,255,149,255,0,255,0,255,0,255,0,255,3,255
24,2,25,0,125,255,107,255,108,255,0,255,0,255,0,255,0,255,2,255
25,3,15,0,168,255,157,255,179,255,0,255,0,255,0,255,0,255,5,255
26,3,30,0,155,255,143,255,189,255,192,255,0,255,0,255,0,255,4,255
27,2,30,0,106,255,121,255,0,255,0,255,0,255,0,255,0,255,2,255
28,2,35,0,111,255,110,255,119,255,0,255,0,255,0,255,0,255,2,255
29,3,35,0,185,255,176,255,205,255,0,255,0,255,0,255,0,255,2,255
30,3,15,0,206,255,209,255,196,255,199,255,0,255,0,255,0,255,1,255
31,3,15,0,145,255,171,255,160,255,201,255,0,255,0,255,0,255,4,255
32,2,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,5,255
33,2,20,0,124,255,0,255,0,255,0,255,0,255,0,255,0,255,5,255
34,2,20,0,116,255,0,255,0,255,0,255,0,255,0,255,0,255,4,255
35,2,20,0,0,255,0,255,0,255,0,255,24,255,21,255,0,255,2,255
36,1,35,0,100,255,0,255,0,255,0,255,0,255,0,255,0,255,5,255
37,2,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,3,255
38,3,20,0,191,255,184,255,173,255,0,255,0,255,0,255,0,255,1,255
39,3,20,0,174,255,183,255,200,255,0,255,0,255,0,255,0,255,2,255
40,3,25,0,182,255,140,255,169,255,0,255,0,255,0,255,0,255,1,255
41,3,25,0,175,255,148,255,159,255,0,255,0,255,0,255,0,255,4,255
42,2,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,1,255
43,2,50,0,0,255,0,255,0,255,0,255,26,255,0,255,0,255,5,255
44,2,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,2,255
45,1,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,2,255
46,1,45,0,0,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255
47,0,25,0,65,255,49,255,0,255,0,255,0,255,0,255,0,255,2,255
48,1,25,0,94,255,96,255,97,255,80,255,0,255,0,255,0,255,2,255
49,0,40,0,47,255,52,255,54,255,0,255,0,255,0,255,0,255,2,255
50,2,30,0,0,255,0,255,0,255,0,255,0,255,22,255,0,255,4,255
51,2,5,0,402,255,401,255,0,255,0,255,0,255,0,255,0,255,0,255
52,2,5,0,404,255,403,255,0,255,0,255,0,255,0,255,0,255,0,255
53,2,5,0,405,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255
54,2,5,0,406,255,0,255,0,255,0,255,0,255,0,255,0,255,0,255
55,2,10,0,408,255,407,255,0,255,0,255,0,255,0,255,0,255,0,255
56,2,10,0,410,255,409,255,0,255,0,255,0,255,0,255,0,255,0,255
