key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
#,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int64,byte,int64,byte,uint32,byte,bool,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte,uint32,byte
0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"0, 0, 0, 0",0,"0, 0, 0, 0",0,65581,0,False,65581,0,65581,0,3735553,0,65581,0,0,0,0,0,0,0,0,0,0,0
2,"0, 0, 0, 0",0,"0, 0, 0, 0",0,262189,0,False,262189,0,262189,0,3735553,0,262189,0,0,0,0,0,0,0,0,0,0,0
3,"0, 0, 0, 0",0,"0, 0, 0, 0",0,458797,0,False,458797,0,458797,0,3735553,0,458797,0,0,0,0,0,0,0,0,0,0,0
4,"401, 2, 5, 0",0,"0, 0, 0, 0",0,5570574,0,False,327696,0,65537,0,3866634,0,4390925,0,0,0,0,0,0,0,0,0,0,0
5,"401, 3, 6, 0",0,"0, 0, 0, 0",0,5701646,0,False,1179664,0,65537,0,3997706,0,4521997,0,0,0,0,0,0,0,0,0,0,0
6,"401, 10, 1, 0",0,"0, 0, 0, 0",0,9240592,0,False,1966096,0,65537,0,4456458,0,4784141,0,0,0,0,0,0,0,0,0,0,0
7,"0, 0, 0, 0",0,"0, 0, 0, 0",0,9895952,0,False,2424848,0,65537,0,3932163,0,5898253,0,0,0,0,0,0,0,0,0,0,0
8,"0, 0, 0, 0",0,"0, 0, 0, 0",0,786456,0,False,3145744,0,65537,0,4456451,0,6160397,0,0,0,0,0,0,0,0,0,0,0
9,"0, 0, 0, 0",0,"0, 0, 0, 0",0,196653,0,False,196653,0,196653,0,3735553,0,196653,0,0,0,0,0,0,0,0,0,0,0
10,"0, 0, 0, 0",0,"0, 0, 0, 0",0,393261,0,False,393261,0,393261,0,3735553,0,393261,0,0,0,0,0,0,0,0,0,0,0
11,"0, 0, 0, 0",0,"0, 0, 0, 0",0,589869,0,False,589869,0,589869,0,3735553,0,589869,0,0,0,0,0,0,0,0,0,0,0
12,"201, 39, 3, 0",0,"101, 6, 1, 0",0,7340045,0,False,196618,0,6815749,0,3735562,0,8192010,0,0,0,0,0,0,0,0,0,0,0
13,"202, 1, 4, 0",0,"101, 8, 6, 0",0,8192013,0,False,720906,0,7667717,0,3997706,0,8257546,0,0,0,0,0,0,0,0,0,0,0
14,"201, 16, 1, 0",0,"101, 6, 5, 0",0,12517386,0,False,2359306,0,9109509,0,5177354,0,8323082,0,0,0,0,0,0,0,0,0,0,0
15,"0, 0, 0, 0",0,"0, 0, 0, 0",0,13500426,0,False,2621450,0,9175045,0,5046282,0,9830410,0,0,0,0,0,0,0,0,0,0,0
16,"0, 0, 0, 0",0,"0, 0, 0, 0",0,13107210,0,False,3407882,0,9568261,0,5439498,0,9895946,0,0,0,0,0,0,0,0,0,0,0
17,"0, 0, 0, 0",0,"0, 0, 0, 0",0,131117,0,False,131117,0,131117,0,3735553,0,131117,0,0,0,0,0,0,0,0,0,0,0
18,"0, 0, 0, 0",0,"0, 0, 0, 0",0,327725,0,False,327725,0,327725,0,3735553,0,327725,0,0,0,0,0,0,0,0,0,0,0
19,"0, 0, 0, 0",0,"0, 0, 0, 0",0,524333,0,False,524333,0,524333,0,3735553,0,524333,0,0,0,0,0,0,0,0,0,0,0
20,"501, 3, 8, 0",0,"0, 0, 0, 0",0,10354692,0,False,524297,0,6553609,0,65545,0,65545,0,0,0,0,0,0,0,0,0,0,0
21,"501, 1, 5, 0",0,"0, 0, 0, 0",0,10682372,0,False,851977,0,6881289,0,4915209,0,10092553,0,0,0,0,0,0,0,0,0,0,0
22,"501, 8, 1, 0",0,"0, 0, 0, 0",0,14352393,0,False,1507337,0,7274505,0,4980745,0,10158089,0,0,0,0,0,0,0,0,0,0,0
23,"0, 0, 0, 0",0,"0, 0, 0, 0",0,14024713,0,False,2490377,0,7340041,0,5046281,0,10223625,0,0,0,0,0,0,0,0,0,0,0
24,"0, 0, 0, 0",0,"0, 0, 0, 0",0,16384009,0,False,4194313,0,8519689,0,5701641,0,12582921,0,0,0,0,0,0,0,0,0,0,0
25,"401, 1, 3, 0",0,"0, 0, 0, 0",0,8585231,75,False,1703951,75,5111816,75,3735567,75,5898255,75,0,0,0,0,0,0,0,0,0,0
26,"401, 31, 2, 0",0,"0, 0, 0, 0",0,7536655,0,False,393231,0,65544,0,65551,0,4915215,0,0,0,0,0,0,0,0,0,0,0
27,"1708, 1, 2, 0",0,"0, 0, 0, 0",0,1441812,0,False,196728,1,196728,0,196728,0,196728,0,0,0,0,0,0,0,0,0,0,0
28,"1708, 1, 1, 0",0,"0, 0, 0, 0",0,262164,0,False,1966114,0,7536647,0,4063237,0,10027013,0,0,0,0,0,0,0,0,0,0,0
29,"5701, 5, 2, 0",0,"0, 0, 0, 0",0,2097182,1,False,131152,0,3080205,0,65616,0,65616,0,0,0,0,0,0,0,0,0,0,0
30,"5701, 1, 2, 0",0,"0, 0, 0, 0",0,65566,0,False,3342366,0,65537,0,3604484,0,7340036,0,0,0,0,0,0,0,0,0,0,0
31,"5101, 1, 3, 0",0,"0, 0, 0, 0",0,131145,0,False,131145,0,131145,0,131145,0,65609,0,0,0,0,0,0,0,0,0,0,0
32,"5101, 1, 2, 0",0,"0, 0, 0, 0",0,3604501,0,False,589826,0,5898242,0,3538946,0,7929858,0,0,0,0,0,0,0,0,0,0,0
33,"5201, 1, 3, 0",0,"0, 0, 0, 0",0,131148,0,False,131148,0,65612,0,65612,0,131148,0,0,0,0,0,0,0,0,0,0,0
34,"5201, 1, 2, 0",0,"0, 0, 0, 0",0,9961476,0,False,262146,0,5898242,0,5373954,0,7929858,0,0,0,0,0,0,0,0,0,0,0
35,"7201, 1, 3, 0",0,"0, 0, 0, 0",0,65559,71,False,1703942,0,7536645,0,65606,0,65606,0,0,0,0,0,0,0,0,0,0,0
36,"7201, 1, 2, 0",0,"0, 0, 0, 0",0,917527,0,False,15728646,0,7536645,0,6881286,0,262145,0,0,0,0,0,0,0,0,0,0,0
37,"301, 3, 3, 0",0,"351, 3, 3, 0",0,0,0,False,1114120,0,4849672,0,4653066,0,7340040,0,0,0,0,0,0,0,0,0,0,0
38,"301, 3, 1, 0",0,"351, 3, 1, 0",0,0,0,False,196616,0,5963786,0,65546,0,5701640,0,0,0,0,0,0,0,0,0,0,0
39,"301, 9, 4, 0",0,"351, 9, 4, 0",0,11993098,51,False,1572874,51,6488074,0,4587530,6,9109514,22,0,0,0,0,0,0,0,0,0,0
40,"301, 9, 1, 0",0,"351, 9, 1, 0",0,0,0,False,1572874,0,65546,0,3735562,0,8257546,0,0,0,0,0,0,0,0,0,0,0
41,"201, 7, 3, 0",0,"101, 4, 3, 0",0,524291,0,False,524291,0,524291,0,3407875,72,524291,0,0,0,0,0,0,0,0,0,0,0
42,"201, 7, 2, 0",0,"101, 4, 2, 0",0,65539,0,False,65539,0,65539,0,2293763,0,65539,0,0,0,0,0,0,0,0,0,0,0
43,"201, 1, 2, 0",0,"101, 8, 4, 0",0,7274507,0,False,1376267,39,5701643,49,65539,0,5505039,0,0,0,0,0,0,0,0,0,0,0
44,"201, 1, 1, 0",0,"101, 8, 1, 0",0,65547,0,False,65547,0,65547,0,3604484,21,9830409,0,0,0,0,0,0,0,0,0,0,0
45,"1001, 1, 6, 0",0,"0, 0, 0, 0",0,0,0,False,2752541,0,7208967,0,4784135,6,1703961,0,0,0,0,0,0,0,0,0,0,0
46,"901, 15, 1, 0",0,"0, 0, 0, 0",0,0,0,False,1048605,6,65537,0,3997703,0,1572889,0,0,0,0,0,0,0,0,0,0,0
47,"5301, 1, 14, 0",0,"0, 0, 0, 0",0,2293780,0,False,1703941,0,8257541,1,65538,11,10813445,11,0,0,0,0,0,0,0,0,0,0
48,"5301, 1, 3, 0",0,"0, 0, 0, 0",0,2228244,0,False,65541,2,65541,0,65538,6,65561,6,0,0,0,0,0,0,0,0,0,0
49,"5501, 1, 5, 0",0,"0, 0, 0, 0",0,15007749,77,False,2031621,77,65536,0,65611,78,65579,0,0,0,0,0,0,0,0,0,0,0
50,"5501, 1, 2, 0",0,"0, 0, 0, 0",0,13172741,0,False,65541,2,65537,0,65611,6,65579,6,0,0,0,0,0,0,0,0,0,0
51,"5601, 3, 1, 0",0,"0, 0, 0, 0",0,65615,0,False,1441799,1,4653094,0,5242887,21,65615,0,0,0,0,0,0,0,0,0,0,0
52,"5601, 1, 2, 0",0,"0, 0, 0, 0",0,3014681,0,False,65543,0,3735590,0,3407876,0,65540,0,0,0,0,0,0,0,0,0,0,0
53,"7001, 3, 2, 0",0,"0, 0, 0, 0",0,5505045,0,False,2228230,0,7995398,0,65608,0,10616838,0,0,0,0,0,0,0,0,0,0,0
54,"7001, 1, 2, 0",0,"0, 0, 0, 0",0,2752537,0,False,15794182,0,65542,0,4063238,0,11993094,18,0,0,0,0,0,0,0,0,0,0
