key,0,1,2,3,4,5,6
#,Name,Description,Icon,Action,Pet,MasterOrder,DisableOrder
int32,str,str,Image,Action,Pet,bool,bool
0,"","",705,0,0,False,False
1,"Away","Order pet to leave the battlefield.",930,0,0,False,False
2,"Heel","Order pet to follow behind you.",929,0,0,False,False
3,"Place","Order pet to move to a specified location.",927,0,0,False,False
4,"Stay","Order pet to remain where it is.",928,0,0,False,False
5,"Guard","Order pet to refrain from attacking until you attack or are attacked.",931,0,0,False,False
6,"Steady","Order pet to refrain from attacking until ordered to do so.",932,0,0,False,False
7,"Sic","Order pet to attack.",925,0,0,False,False
8,"Obey","Order pet to attack, but refrain from using certain actions until ordered to do so.",926,0,0,False,False
9,"Gust","Deals wind damage with a potency of 90.",961,637,1,False,False
10,"Backdraft","Deals wind damage with a potency of 80.
<Color(52258)>Additional Effect:</Color> 15-yalm knockback
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",963,638,1,True,False
11,"Downburst","Deals wind damage with a potency of 80 to target and all enemies nearby it.
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",962,639,1,True,False
12,"Shining Emerald","Extends duration of damage over time effects already cast by master by 15s.
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",964,640,1,True,False
13,"Gouge","Delivers an attack with a potency of 70.
<Color(52258)>Additional Effect:</Color> Increased enmity",951,633,2,False,False
14,"Shining Topaz","Delivers an attack with a potency of 70 to all nearby enemies.
<Color(52258)>Additional Effect:</Color> Increased enmity
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",952,634,2,True,False
15,"Curl","Decreases damage suffered by pet by 20%.
<Color(52258)>Duration:</Color> 20s
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",953,635,2,True,False
16,"Storm","Delivers an attack with a potency of 60.
<Color(52258)>Additional Effect:</Color> Stun  <Color(52258)>Duration:</Color> 2s
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",954,636,2,True,False
17,"Wind Blade","Deals wind damage with a potency of 100.",3761,792,5,False,False
18,"Shockwave","Deals wind damage with a potency of 90.
<Color(52258)>Additional Effect:</Color> 15-yalm knockback
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",3763,793,5,True,False
19,"Aerial Slash","Deals wind damage with a potency of 90 to target and all enemies nearby it.
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",3762,794,5,True,False
20,"Contagion","Extends duration of damage over time effects already cast by master by 15s.
When <Color(-34022)>Obey</Color> is active, will only execute upon command.",3764,795,5,True,False
21,"Aerial Blast","Deals wind damage with a potency of 250 to target and all enemies nearby it.
Executed when master uses <Color(-34022)>Enkindle</Color>.",3765,796,5,False,True
22,"Rock Buster","Delivers an attack with a potency of 85.
<Color(52258)>Additional Effect:</Color> Increased enmity",3751,787,4,False,False
23,"Mountain Buster","Delivers an attack with a potency of 70 to all nearby enemies.
<Color(52258)>Additional Effect:</Color> Increased enmityWhen <Color(-34022)>Obey</Color> is active, will only execute upon command.",3752,788,4,True,False
