key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Item[0],Count[0],HQ[0],Item[1],Count[1],HQ[1],Item[2],Count[2],HQ[2],Item[3],Count[3],HQ[3],Item[4],Count[4],HQ[4],Item[5],Count[5],HQ[5],Item[6],Count[6],HQ[6],Item[7],Count[7],HQ[7]
int32,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool,Item,uint16,bool
0,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
1,4,3,False,3,3,False,5380,2,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
2,4,7,False,3,7,False,5380,5,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
3,4,24,False,3,24,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
4,4,3,False,3,3,False,5380,2,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
5,4,8,False,3,8,False,5380,6,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
6,4,28,False,3,28,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
7,4,4,False,3,4,False,5383,3,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
8,4,10,False,3,10,False,5383,7,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
9,4,32,False,3,32,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
10,4,4,False,3,4,False,5385,3,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
11,4,11,False,3,11,False,5385,8,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
12,4,36,False,3,36,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
13,4,5,False,3,5,False,5386,4,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
14,4,12,False,3,12,False,5386,10,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
15,4,40,False,3,40,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
16,4,5,False,3,5,False,5388,4,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
17,4,13,False,3,13,False,5388,11,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
18,4,44,False,3,44,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
19,4,6,False,3,6,False,5390,5,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
20,4,15,False,3,15,False,5390,12,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
21,4,48,False,3,48,False,2224,1,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
22,4,6,False,3,6,False,5390,5,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
23,4,16,False,3,16,False,5390,13,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
24,4,52,False,3,52,False,2014,1,False,2237,1,False,0,0,False,0,0,False,0,0,False,0,0,False
25,4,7,False,3,7,False,5391,6,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
26,4,17,False,3,17,False,5391,15,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
27,4,56,False,3,56,False,2237,1,False,1840,1,False,1910,1,False,0,0,False,0,0,False,0,0,False
28,4,7,False,3,7,False,5393,6,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
29,4,18,False,3,18,False,5393,16,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
30,4,60,False,3,60,False,5568,1,False,5565,1,False,0,0,False,0,0,False,0,0,False,0,0,False
31,2,3,False,5,3,False,5107,2,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
32,2,7,False,5,7,False,5107,5,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
33,2,24,False,5,24,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
34,2,3,False,5,3,False,5106,2,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
35,2,8,False,5,8,False,5106,6,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
36,2,28,False,5,28,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
37,2,4,False,5,4,False,5106,3,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
38,2,10,False,5,10,False,5106,7,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
39,2,32,False,5,32,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
40,2,4,False,5,4,False,5111,3,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
41,2,11,False,5,11,False,5111,8,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
42,2,36,False,5,36,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
43,2,5,False,5,5,False,5111,4,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
44,2,12,False,5,12,False,5111,10,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
45,2,40,False,5,40,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
46,2,5,False,5,5,False,5528,4,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
47,2,13,False,5,13,False,5528,11,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
48,2,44,False,5,44,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
49,2,6,False,5,6,False,5528,5,False,0,0,False,0,0,False,0,0,False,0,0,False,0,0,False
