key,0,1
#,Icon,Name
int32,Image,str
0,0,""
1,60201,"Clear"
2,60202,"Fair"
3,60203,"Clouds"
4,60204,"Fog"
5,60205,"Wind"
6,60206,"Gales"
7,60207,"Rain"
8,60208,"Showers"
9,60209,"Thunder"
10,60210,"Thunderstorms"
11,60211,"Dust Storms"
12,60212,"Sandstorms"
13,60213,"Hot Spells"
14,60214,"Heat Wave"
15,60215,"Snow"
16,60216,"Blizzards"
17,60218,"Gloom"
18,60217,"Aurora"
19,60251,"Darkness"
20,60255,"Hopelessness"
21,0,""
22,0,""
23,0,""
24,0,""
25,60257,"Lour"
26,60252,"Heat Wave"
27,60256,"Gloom"
28,60253,"Gales"
29,60254,"Eruptions"
30,60202,"Fair"
31,60202,"Fair"
32,60202,"Fair"
33,60202,"Fair"
34,60202,"Fair"
35,0,""
36,0,""
37,0,""
38,0,""
39,0,""
40,0,""
