key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,AchievementCategory,Name,Description,AchievementTarget,,Points,Title,Item,,,,Icon,,Type,Key,Data[0],Data[1],Data[2],Data[3]
int32,AchievementCategory,str,str,AchievementTarget,uint16,uint32,Title,Item,int32,int32,int32,Image,int32,int32,Row,Row,Row,Row,Row
0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,"To Crush Your Enemies I","Defeat 100 enemies.",5,0,0,412,1,11,100,0,0,0,0,0,0,0,1,0
2,1,"To Crush Your Enemies II","Defeat 500 enemies.",5,0,0,412,1,11,500,0,0,0,0,0,0,0,1,0
3,1,"To Crush Your Enemies III","Defeat 1,000 enemies.",10,0,0,412,1,11,1000,0,0,0,0,0,0,0,1,0
4,1,"To Crush Your Enemies IV","Defeat 5,000 enemies.",10,0,0,412,1,11,5000,0,0,0,0,0,0,0,1,0
5,1,"To Crush Your Enemies V","Defeat 10,000 enemies.",10,0,0,412,1,11,10000,0,0,0,0,0,0,0,1,0
6,1,"To Crush Your Enemies VI","Defeat 50,000 enemies.",10,9,0,412,1,11,50000,0,0,0,0,0,0,0,1,0
7,1,"Let the Bodies Hit the Floor","Defeat 100,000 enemies.",30,0,2907,3204,1,11,100000,0,0,0,0,0,0,0,1,0
8,56,"La Noscea Big Game Hunter","Defeat the notorious monsters Barometz, Slippery Sykes, Gluttonous Gertrude, Bomb Baron, Unknown Soldier, great buffalo, and Old Six–arms.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
9,56,"Black Shroud Big Game Hunter","Defeat the notorious monsters Queen Bolete, alux, jackanapes, Sirocco, Phaia, Haughtpox Bloatbelly, and the Prince of Pestilence.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
10,56,"Thanalan Big Game Hunter","Defeat the notorious monsters Cactuar Jack, elder mosshorn, Daddy Longlegs, Kokoroon Quickfingers, nest commander, Bardi, and Pyrausta.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
11,56,"Coerthas Big Game Hunter","Defeat the notorious monsters Uraeus, Spitfire, and Downy Dunstan.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
12,56,"Mor Dhona Big Game Hunter","Defeat the notorious monster Dodore.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
13,56,"Shposhae Big Game Hunter","Defeat the notorious monsters Shearing Sheridan, giant remora, and the lone coeurl.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
14,56,"Bane of the Tribes","Defeat the notorious beastmen Lozol Totoloq the Decapitator, Flamefist Ahlygg Roh, and Third Order Patriarch Zu Ga.",10,0,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
15,56,"Notorious Monster Hunting","Defeat 25 different notorious monsters.",30,10,0,62904,0,0,0,0,0,0,0,0,0,0,2,0
16,56,"Had Me Some Fun","Defeat Ifrit in the Bowl of Embers (Hard).",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
17,56,"Most Adorable Death Ever","Defeat Good King Moggle Mog XII in Thornmarch.",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
18,56,"Where the Wind Blows","Defeat Garuda in the Howling Eye (Hard).",5,0,0,62912,0,0,0,0,0,0,0,0,0,0,2,0
19,8,"Stick Them with the Pointy End I","Achieve gladiator level 10.",5,0,0,30408,3,1,10,0,0,0,0,0,0,0,1,1
20,8,"Stick Them with the Pointy End II","Achieve gladiator level 20.",5,0,0,30408,3,1,20,0,0,0,0,0,0,0,1,2
21,8,"Stick Them with the Pointy End III","Achieve gladiator level 30.",5,0,0,30408,3,1,30,0,0,0,0,0,0,0,1,3
22,8,"Stick Them with the Pointy End IV","Achieve gladiator level 40.",5,0,0,30408,3,1,40,0,0,0,0,0,0,0,1,4
23,8,"Stick Them with the Pointy End V","Achieve gladiator level 50.",5,0,0,30408,3,1,50,0,0,0,0,0,0,0,1,5
24,9,"The Sweet Science I","Achieve pugilist level 10.",5,0,0,31004,3,2,10,0,0,0,0,0,0,0,1,6
