key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,byte,byte,int32,byte,int32,byte,int32,uint16,uint16,str,str
0,0,0,0,0,0,0,0,0,0,"",""
1,1,1,3,5,15,3,1000,0,57,"Feeling Lucky","Complete 3 dungeons via the Duty Roulette."
2,1,2,5,5,10,3,2000,0,57,"Dungeon Master","Complete 5 dungeons."
3,2,1,3,5,5,3,1000,0,71,"You're the Hest Around I","Complete 3 guildhests."
4,2,2,10,5,10,3,2000,0,71,"You're the Hest Around II","Complete 10 guildhests."
5,0,0,0,0,0,0,0,0,0,"",""
6,0,0,0,0,0,0,0,0,0,"",""
7,3,1,10,0,0,4,10,0,130,"A Wolf in Your Belly","Participate in 10 matches at the Wolves' Den."
8,3,2,3,0,0,4,15,0,130,"Thrown to the Wolves","Triumph in 3 matches at the Wolves' Den."
9,4,1,5,5,15,3,1000,0,0,"Fated to Wander","Receive the highest rating possible in FATEs in 5 different regions."
10,4,2,10,5,15,3,2000,0,0,"Embrace Your Fate","Successfully complete 10 unique FATEs."
11,5,1,5,5,15,3,1000,0,0,"Just Leve It to Me","Complete 5 levequests with different leve plates."
12,5,2,20,5,15,3,2000,0,0,"Making Like a Tree","Complete 20 levequests."
13,6,1,10,0,0,6,1000,0,89,"Give 'Em What They Want","Complete 10 supply and provisioning missions."
14,6,2,5,0,0,6,1000,0,89,"Give 'Em What They Want (HQ)","Submit 5 HQ items in supply and provisioning missions."
15,7,1,3,0,0,3,1000,0,149,"X Marks the Spot","Gather 3 timeworn maps."
16,7,2,5,0,0,3,2000,0,149,"Find Your Treasure and Have It Too","Open 5 treasure coffers and obtain their contents while treasure hunting."
17,8,1,20,7,5,3,1000,0,96,"Bosom Buddies I","Defeat 20 enemies of comparable level to your own with your companion."
18,8,2,100,7,10,3,2000,0,96,"Bosom Buddies II","Defeat 100 enemies of comparable level to your own with your companion."
19,9,1,5,0,0,3,1000,0,152,"Beast of a Time I","Complete 5 beast tribe daily quests."
20,9,2,15,0,0,3,2000,0,152,"Beast of a Time II","Complete 15 beast tribe daily quests."
21,10,1,5,0,0,3,4000,0,0,"Up for a Challenge I","Complete 5 unique challenges."
22,10,2,10,0,0,3,4000,0,0,"Up for a Challenge II","Complete 10 unique challenges."
23,10,3,15,0,0,3,5000,20,0,"Up for a Challenge III","Complete 15 unique challenges."
24,10,4,20,0,0,3,5000,30,0,"Up for a Challenge IV","Complete 20 unique challenges."
25,11,1,5,5,10,3,1000,0,160,"Exercising the Right","Vote 5 times in player commendation."
26,12,1,100,5,5,3,1000,0,0,"The Gathering Storm","Successfully gather items of comparable level to your own 100 times."
27,12,2,30,5,5,3,2000,0,0,"The Gathering Storm (HQ)","Successfully gather high-quality items of comparable level to your own 30 times."
28,12,3,30,5,5,3,1000,0,0,"Hooked on the Reeling","Catch 30 fish."
29,12,4,10,5,5,3,2000,0,0,"Hooked on the Reeling (HQ)","Catch 10 high-quality fish."
30,13,1,30,5,10,3,1000,0,0,"Crafting Up a Storm","Craft 30 items."
31,13,2,20,5,10,3,2000,0,0,"Crafting Up a Storm (HQ)","Craft 20 high-quality items."
32,13,3,5,5,10,3,2000,0,98,"Meld Your Heart","Successfully affix 5 materia."
33,14,1,10,0,0,3,1000,0,168,"Venture Capital","Have a retainer complete 10 ventures."
34,14,2,15,0,0,3,4000,0,169,"Venture Bothers","Have a retainer complete 15 exploration ventures."
35,3,3,7,0,0,4,10,0,176,"Line Up","Participate in 7 Frontline campaigns."
36,3,4,3,0,0,4,15,0,176,"In the Line of Fire","Lead your company to victory in 3 Frontline campaigns."
