key,0,1,2,3,4,5
#,,,,,,
int32,int32,uint32,uint32,uint32,uint32,bit&01
0,1,0,0,0,0,False
1,2,1,0,0,0,False
2,4,2007,0,0,0,False
3,4,2007,0,0,0,False
4,4,2007,0,0,0,False
5,6,8,0,0,0,False
6,2,5,0,0,0,False
7,2,5,0,0,0,False
8,1,0,0,0,0,False
9,1,0,0,0,0,False
10,3,9,2068,0,0,False
11,3,9,2068,0,0,False
12,1,0,0,0,0,False
13,1,0,0,0,0,False
14,1,0,0,0,0,False
15,1,0,0,0,0,False
16,1,0,0,0,0,False
17,1,0,0,0,0,False
18,2,35,0,0,0,False
19,2,35,0,0,0,False
20,2,35,0,0,0,False
21,2,43,24,0,0,False
22,2,43,24,0,0,False
23,2,12,0,0,0,False
24,2,12,0,0,0,False
25,2,12,0,0,0,False
26,4,2033,0,0,0,False
27,3,44,2068,0,0,False
28,3,44,2068,0,0,False
29,3,44,2068,0,0,False
30,3,44,2068,0,0,False
31,3,44,2068,0,0,False
32,3,45,2068,0,0,False
33,3,46,2068,0,0,False
34,1,0,0,0,0,False
35,1,0,0,0,0,False
36,1,0,0,0,0,False
37,1,0,0,0,0,False
38,1,0,0,0,0,False
39,1,0,0,0,0,False
40,1,0,0,0,0,False
41,1,0,0,0,0,False
42,2,42,0,0,0,False
43,1,0,0,0,0,False
44,1,0,0,0,0,False
45,1,0,0,0,0,False
46,1,0,0,0,0,False
47,1,0,0,0,0,False
48,1,0,0,0,0,False
49,1,0,0,0,0,False
50,1,0,0,0,0,False
51,1,0,0,0,0,False
52,3,18,2068,0,0,False
53,3,18,2068,0,0,False
54,3,18,2068,0,0,False
55,3,18,2068,0,0,False
56,3,18,2068,0,0,False
57,3,18,2068,0,0,False
58,3,18,2068,0,0,False
59,3,19,1560,0,0,False
60,3,20,1560,0,0,False
61,1,0,0,0,0,False
62,1,0,0,0,0,False
63,1,0,0,0,0,False
64,1,0,0,0,0,False
65,3,31,2004,0,0,False
66,1,0,0,0,0,False
67,4,2039,0,0,0,False
68,4,2039,0,0,0,False
69,4,2039,0,0,0,False
70,4,2039,0,0,0,False
71,2,34,0,0,0,False
72,2,34,0,0,0,False
73,2,34,0,0,0,False
74,5,36,0,0,0,False
75,1,0,0,0,0,False
76,1,0,0,0,0,False
77,1,0,0,0,0,False
78,2,32,0,0,0,False
79,2,33,0,0,0,False
80,2,32,0,0,0,False
81,2,33,0,0,0,False
82,1,0,0,0,0,False
83,1,0,0,0,0,False
84,1,0,0,0,0,False
85,1,0,0,0,0,False
86,1,0,0,0,0,False
87,1,0,0,0,0,False
88,1,0,0,0,0,False
89,1,0,0,0,0,False
90,1,0,0,0,0,False
91,1,0,0,0,0,False
92,1,0,0,0,0,False
93,1,0,0,0,0,False
94,1,0,0,0,0,False
95,1,0,0,0,0,False
96,1,0,0,0,0,False
97,1,0,0,0,0,False
98,1,0,0,0,0,False
99,1,0,0,0,0,False
100,1,0,0,0,0,False
101,1,0,0,0,0,False
102,1,0,0,0,0,False
103,1,0,0,0,0,False
104,1,0,0,0,0,False
105,1,0,0,0,0,False
106,2,32,0,0,0,False
107,2,33,0,0,0,False
108,2,32,0,0,0,False
109,2,33,0,0,0,False
110,1,0,0,0,0,False
111,2,8,0,0,0,False
112,1,0,0,0,0,False
113,1,0,0,0,0,False
114,1,0,0,0,0,False
115,1,0,0,0,0,False
116,1,0,0,0,0,False
117,1,0,0,0,0,False
118,1,0,0,0,0,False
119,1,0,0,0,0,False
120,1,0,0,0,0,False
121,1,0,0,0,0,False
122,1,0,0,0,0,False
123,1,0,0,0,0,False
124,1,0,0,0,0,False
125,2,60,0,0,0,False
126,2,60,0,0,0,False
127,2,60,0,0,0,False
128,2,60,0,0,0,False
129,2,60,0,0,0,False
130,2,60,0,0,0,False
131,2,60,0,0,0,False
132,2,60,0,0,0,False
133,5,60,4303380,0,0,False
134,2,32,0,0,0,False
135,2,33,0,0,0,False
136,2,32,0,0,0,False
137,2,33,0,0,0,False
138,4,2005,0,0,0,False
139,4,2005,0,0,0,False
140,4,2005,0,0,0,False
141,4,2005,0,0,0,False
142,1,0,0,0,0,False
143,1,0,0,0,0,False
144,1,0,0,0,0,False
145,1,0,0,0,0,False
146,3,29,2004,0,0,False
147,3,29,2004,0,0,False
148,3,29,2004,0,0,False
149,2,54,0,0,0,False
150,2,30,0,0,0,False
151,1,0,0,0,0,False
152,5,60,4303380,0,0,False
153,1,0,0,0,0,False
154,1,0,0,0,0,False
155,1,0,0,0,0,False
156,1,0,0,0,0,False
157,3,49,2154,0,0,False
158,1,0,0,0,0,False
159,1,0,0,0,0,False
160,1,0,0,0,0,False
161,1,0,0,0,0,False
162,2,37,0,0,0,False
163,1,0,0,0,0,False
164,1,0,0,0,0,False
165,1,0,0,0,0,False
166,1,0,0,0,0,False
167,2,36,0,0,0,False
168,1,0,0,0,0,False
169,1,0,0,0,0,False
170,1,0,0,0,0,False
171,1,0,0,0,0,False
172,1,0,0,0,0,False
173,1,0,0,0,0,False
174,1,0,0,0,0,False
175,1,0,0,0,0,False
176,1,0,0,0,0,False
177,1,0,0,0,0,False
178,1,0,0,0,0,False
179,5,40,4098808,2049,0,False
180,5,41,4099279,2050,0,False
181,6,0,0,0,0,False
182,1,0,0,0,0,False
183,2,59,0,0,0,False
184,2,59,0,0,0,False
185,2,59,0,0,0,False
186,1,0,0,0,0,False
187,2,59,0,0,0,False
188,2,59,0,0,0,False
189,2,59,0,0,0,False
190,2,59,0,0,0,False
191,7,2076,0,0,0,False
192,1,0,0,0,0,False
193,1,0,0,0,0,False
194,1,0,0,0,0,False
195,1,0,0,0,0,False
196,8,0,0,0,0,False
197,8,0,0,0,0,False
198,8,0,0,0,0,False
199,8,0,0,0,0,False
200,8,0,0,0,0,False
201,8,0,0,0,0,False
202,1,0,0,0,0,False
203,5,30,4233736,0,0,False
204,5,30,4233765,0,0,False
205,5,40,4246650,2049,0,False
206,5,40,4246652,2049,0,False
207,1,0,0,0,0,False
208,1,0,0,0,0,False
209,1,0,0,0,0,False
210,5,48,4246646,0,0,False
211,5,48,4246649,0,0,False
212,5,48,4246651,0,0,False
213,5,48,4246653,0,0,False
214,5,48,4246655,0,0,False
215,5,48,4246657,0,0,False
216,1,0,0,0,0,False
217,1,0,0,0,0,False
218,1,0,0,0,0,False
219,1,0,0,0,0,False
220,1,0,0,0,0,False
221,1,0,0,0,0,False
222,1,0,0,0,0,False
223,1,0,0,0,0,False
224,1,0,0,0,0,False
225,1,0,0,0,0,False
226,2,53,0,0,0,False
227,2,53,0,0,0,False
228,2,52,0,0,0,False
229,2,52,0,0,0,False
