key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,uint16,byte,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,byte,byte,bit&01,uint16,bit&02,bit&04,byte,byte
0,"","",0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,False,0,False,False,0,0
1,"Petrification","Stone-like rigidity is preventing the execution of actions.",15001,0,2,47,122,True,False,True,False,False,False,False,False,100,0,False,0,False,False,0,0
2,"Stun","Unable to execute actions.",15004,0,2,43,125,True,False,True,False,False,False,False,False,100,0,False,0,False,False,0,0
3,"Sleep","Overwhelming drowsiness is preventing the execution of actions.",15013,0,2,42,123,True,False,True,False,False,False,False,False,100,0,False,0,False,False,0,3
4,"Daze","Scattered senses are preventing the execution of actions.",15003,0,2,50,0,True,False,True,False,False,False,False,False,100,0,False,0,False,False,0,0
5,"Amnesia","Unable to use abilities.",15015,0,2,59,0,False,False,False,False,False,False,False,False,100,0,False,0,False,False,0,0
6,"Pacification","Unable to use weaponskills.",15017,0,2,58,0,False,False,False,False,False,False,False,False,100,0,False,0,False,False,0,0
7,"Silence","A stifling magic is preventing casts.",15005,0,2,48,0,False,False,False,False,False,False,False,False,100,0,False,0,False,False,0,0
8,"Haste","Weaponskill recast time, spell recast time, and auto-attack delay are reduced.",15008,0,1,60,0,False,False,False,False,False,False,False,False,1,0,False,0,False,False,0,0
9,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15009,0,2,56,0,False,False,False,False,False,False,False,False,50,0,False,0,False,False,0,0
10,"Slow","Weaponskill recast time, spell recast time, and auto-attack delay are increased.",15545,0,2,56,0,False,False,False,False,False,False,True,True,50,0,False,0,False,False,0,0
11,"Confused","Attacking allies instead of the enemy.",15603,0,2,61,0,False,False,False,True,False,True,False,False,100,0,False,0,False,False,0,0
12,"Levitation","Floating several ilms off the ground, defying the universal laws of gravity.",15037,0,1,60,128,False,False,False,False,False,False,True,True,1,0,False,0,False,False,0,0
13,"Bind","Unable to move.",15003,0,2,54,124,True,False,False,False,False,False,False,False,100,0,False,0,False,False,0,0
14,"Heavy","Movement speed is reduced.",15002,0,2,44,126,False,False,False,False,False,False,False,False,100,1,False,0,False,False,0,0
15,"Blind","Encroaching darkness is lowering accuracy.",15012,0,2,52,0,False,False,False,False,False,False,False,False,50,0,False,0,False,False,0,0
16,"","",0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,False,0,False,False,0,0
17,"Paralysis","Deadened nerves are sometimes preventing the execution of actions.",15006,0,2,46,0,False,False,False,False,False,False,False,False,100,0,False,0,False,False,0,0
18,"Poison","Toxins are causing damage over time.",15007,0,2,41,0,False,False,False,False,False,False,False,False,10,0,False,0,False,False,0,0
