key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,str,byte,sbyte,sbyte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,bit&01,str,int32,int32,byte,byte,sbyte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,int64,uint32,uint32,uint32
0,"adventurer","ADV","",30,-1,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,False,"Adventurer",0,0,0,0,127,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,0,0
1,"gladiator","GLA","剣",30,1,0,110,50,95,100,90,50,95,80,100,100,100,100,100,100,1,False,"Gladiator",1601,0,1,3,0,3,197,198,199,3359,0,0,1,"0, 0, 0, 0",0,0,0
2,"pugilist","PGL","格",30,0,1,105,35,100,95,100,45,85,60,100,100,100,100,100,100,2,False,"Pugilist",1680,0,2,3,1,1,200,201,202,3360,0,0,2,"0, 0, 0, 0",0,0,0
3,"marauder","MRD","斧",30,2,2,115,30,100,100,90,30,50,40,100,100,100,100,100,100,3,False,"Marauder",1749,0,1,1,2,3,197,198,199,3359,0,0,3,"0, 0, 0, 0",0,0,0
4,"lancer","LNC","槍",30,4,3,110,40,105,100,95,40,60,70,100,100,100,100,100,100,4,False,"Lancer",1819,0,2,2,3,1,200,201,202,3360,0,0,4,"0, 0, 0, 0",0,0,0
5,"archer","ARC","弓",30,3,4,100,70,85,95,105,80,75,80,100,100,100,100,100,100,5,False,"Archer",1889,0,3,2,4,2,206,207,208,3362,0,0,5,"0, 0, 0, 0",0,0,0
6,"conjurer","CNJ","幻",31,6,5,100,115,50,95,100,100,105,110,100,100,100,100,100,100,6,False,"Conjurer",1995,0,4,2,5,5,206,207,208,3362,0,0,7,"0, 0, 0, 0",0,0,0
7,"thaumaturge","THM","呪",31,5,6,100,120,40,95,95,105,70,115,100,100,100,100,100,100,7,False,"Thaumaturge",2055,0,3,3,6,4,203,204,205,3361,0,0,8,"0, 0, 0, 0",0,0,0
8,"carpenter","CRP","木",33,7,-1,100,100,90,105,100,90,90,90,100,100,100,100,100,100,8,False,"Carpenter",0,0,0,0,127,0,0,0,0,0,0,0,101,"0, 0, 0, 0",0,0,0
9,"blacksmith","BSM","鍛",33,8,-1,100,100,105,90,90,90,100,90,100,100,100,100,100,100,9,False,"Blacksmith",0,0,0,0,127,0,0,0,0,0,0,0,102,"0, 0, 0, 0",0,0,0
10,"armorer","ARM","甲",33,9,-1,100,100,100,105,90,90,90,90,100,100,100,100,100,100,10,False,"Armorer",0,0,0,0,127,0,0,0,0,0,0,0,103,"0, 0, 0, 0",0,0,0
11,"goldsmith","GSM","彫",33,10,-1,100,100,90,90,105,100,90,90,100,100,100,100,100,100,11,False,"Goldsmith",0,0,0,0,127,0,0,0,0,0,0,0,104,"0, 0, 0, 0",0,0,0
12,"leatherworker","LTW","革",33,11,-1,100,100,90,105,90,100,90,90,100,100,100,100,100,100,12,False,"Leatherworker",0,0,0,0,127,0,0,0,0,0,0,0,105,"0, 0, 0, 0",0,0,0
13,"weaver","WVR","裁",33,12,-1,100,100,90,90,105,90,100,90,100,100,100,100,100,100,13,False,"Weaver",0,0,0,0,127,0,0,0,0,0,0,0,106,"0, 0, 0, 0",0,0,0
14,"alchemist","ALC","錬",33,13,-1,100,100,90,90,90,105,90,100,100,100,100,100,100,100,14,False,"Alchemist",0,0,0,0,127,0,0,0,0,0,0,0,107,"0, 0, 0, 0",0,0,0
15,"culinarian","CUL","調",33,14,-1,100,100,90,90,90,90,105,100,100,100,100,100,100,100,15,False,"Culinarian",0,0,0,0,127,0,0,0,0,0,0,0,108,"0, 0, 0, 0",0,0,0
16,"miner","MIN","採",32,15,-1,100,100,100,90,90,90,100,90,100,100,100,100,100,100,16,False,"Miner",0,0,0,0,127,0,0,0,0,0,0,0,201,"0, 0, 0, 0",0,0,0
17,"botanist","BTN","園",32,16,-1,100,100,90,90,100,100,90,90,100,100,100,100,100,100,17,False,"Botanist",0,0,0,0,127,0,0,0,0,0,0,0,202,"0, 0, 0, 0",0,0,0
18,"fisher","FSH","漁",32,17,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,False,"Fisher",0,0,0,0,127,0,0,0,0,0,0,0,203,"0, 0, 0, 0",0,0,0
19,"paladin","PLD","ナ",30,1,-1,120,60,100,110,95,60,100,85,100,100,100,100,100,100,1,True,"Paladin",0,0,1,0,0,3,197,198,199,3359,0,0,51,"9001, 76, 1, 0",4542,66656,66596
20,"monk","MNK","モ",30,0,-1,110,45,110,100,105,50,90,65,100,100,100,100,100,100,2,True,"Monk",0,0,2,0,1,1,200,201,202,3360,0,0,52,"9001, 77, 1, 0",4543,66657,66602
21,"warrior","WAR","戦",30,2,-1,125,40,105,110,95,40,55,45,100,100,100,100,100,100,3,True,"Warrior",0,0,1,0,2,3,197,198,199,3359,0,0,53,"9001, 78, 1, 0",4544,66655,66590
22,"dragoon","DRG","竜",30,4,-1,115,50,115,105,100,45,65,75,100,100,100,100,100,100,4,True,"Dragoon",0,0,2,0,3,1,200,201,202,3360,0,0,54,"9001, 79, 1, 0",4545,66658,66608
23,"bard","BRD","吟",30,3,-1,105,80,90,100,115,85,80,85,100,100,100,100,100,100,5,True,"Bard",0,0,3,0,4,2,206,207,208,3362,0,0,55,"9001, 80, 1, 0",4546,66659,66614
24,"white mage","WHM","白",31,6,-1,105,120,55,100,105,105,115,120,100,100,100,100,100,100,6,True,"White Mage",0,0,4,0,5,5,206,207,208,3362,0,0,57,"9001, 81, 1, 0",4547,66660,66620
25,"black mage","BLM","黒",31,5,-1,105,125,45,100,100,115,75,120,100,100,100,100,100,100,7,True,"Black Mage",0,0,3,0,6,4,203,204,205,3361,0,0,58,"9001, 82, 1, 0",4548,66661,66626
26,"arcanist","ACN","巴",31,18,7,100,110,85,95,95,105,75,100,100,100,100,100,100,100,26,False,"Arcanist",2142,0,3,1,7,4,203,204,205,3361,0,0,9,"0, 0, 0, 0",0,0,0
27,"summoner","SMN","召",31,18,-1,105,110,90,100,100,115,80,105,100,100,100,100,100,100,26,True,"Summoner",0,0,3,0,7,4,203,204,205,3361,0,0,59,"9001, 83, 1, 0",4549,66662,66632
28,"scholar","SCH","学",31,18,-1,105,115,90,100,100,105,115,120,100,100,100,100,100,100,26,True,"Scholar",0,0,4,0,7,6,206,207,208,3362,0,0,60,"9001, 84, 1, 0",4550,66663,66638
29,"rogue","ROG","双",30,19,8,103,40,80,95,100,60,70,60,100,100,100,100,100,100,29,False,"Rogue",0,0,2,0,11,2,200,201,202,3360,0,0,6,"0, 0, 0, 0",0,0,0
30,"ninja","NIN","忍",30,19,-1,108,50,85,100,110,65,75,65,100,100,100,100,100,100,29,True,"Ninja",0,0,2,0,11,2,200,201,202,3360,0,0,56,"9001, 103, 1, 0",7886,67115,65770
31,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"",0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,0,0
32,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"",0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,0,0
33,"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"",0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,0,0
