key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,bit&01,uint16,byte,uint32,uint32,uint32,uint16,uint16,uint32,uint32,uint32,uint32,uint32,bit&02
2293760,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,0,False
2293761,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,0,False
2293762,37,14,1,0,0,21,2,7,12,0,2,0,False,10,1,0,0,0,0,0,592042,592043,592044,592045,592046,True
2293763,23,3,4,0,0,26,11,15,20,0,2,4,True,10,1,0,0,0,0,0,592047,592048,592049,592050,592051,False
2293764,36,7,10,0,0,24,16,8,0,0,2,0,False,10,1,0,0,0,0,0,592052,592053,592054,592055,592056,False
2293765,26,9,13,0,0,25,15,5,6,0,2,0,False,10,1,0,0,0,0,0,592057,592058,592059,592060,592061,False
2293766,38,26,6,0,0,27,13,11,8,0,3,6,True,15,1,0,0,0,0,0,592062,592063,592064,592065,592066,False
2293767,30,29,15,0,0,35,28,11,12,5,3,0,False,15,1,66046,0,0,0,0,592067,592068,592069,592070,592071,False
2293768,22,28,13,0,0,26,4,7,8,0,3,0,False,15,1,0,0,0,0,0,592072,592073,592074,592075,592076,False
2293769,28,30,14,0,0,36,29,13,10,8,3,0,False,15,1,66046,0,0,0,0,592077,592078,592079,592080,592081,False
2293770,45,36,14,0,0,23,13,18,5,6,3,0,False,15,1,0,0,0,0,0,592082,592083,592084,592085,592086,False
2293771,13,7,2,5,4,0,0,0,0,0,2,0,True,5,1,0,0,0,0,0,592087,592088,592089,592090,592091,False
2293772,38,33,2,0,0,59,26,14,12,15,3,0,False,20,1,0,0,0,0,0,592092,592093,592094,592095,592096,False
2293773,51,24,37,0,0,27,20,16,12,0,3,7,True,20,1,0,0,0,0,0,592097,592098,592099,592100,592101,False
2293774,56,24,35,0,0,44,30,10,18,14,3,0,False,20,1,0,0,0,1200,2000,592102,592103,592104,592105,592106,False
2293775,41,34,2,0,0,49,26,22,20,0,3,0,False,20,1,66053,0,0,2000,800,592107,592108,592109,592110,592111,False
2293776,54,33,19,0,0,37,25,15,13,20,3,0,False,20,1,66503,0,0,0,0,592112,592113,592114,592115,592116,False
2293777,28,29,30,0,0,49,21,27,18,17,3,0,False,20,1,66046,0,0,0,0,592117,592118,592119,592120,592121,False
2293778,33,28,2,0,0,67,46,19,20,13,3,0,False,20,1,66046,0,0,0,0,592122,592123,592124,592125,592126,False
2293779,45,34,11,0,0,60,41,22,27,2,3,0,False,20,1,0,0,0,1000,2000,592127,592128,592129,592130,592131,False
2293780,55,51,50,0,0,44,38,26,33,0,8,0,False,25,1,0,0,0,0,0,592132,592133,592134,592135,592136,False
2293781,59,56,47,0,0,57,58,43,50,45,12,5,True,25,1,0,0,0,0,0,592137,592138,592139,592140,592141,False
2293782,52,53,57,0,0,44,47,42,38,35,9,0,False,25,1,0,0,0,1600,800,592142,592143,592144,592145,592146,False
2293783,66,52,43,0,0,48,42,39,44,0,8,0,False,25,1,66050,0,0,0,0,592147,592148,592149,592150,592151,False
2293784,58,51,33,0,0,45,38,47,0,0,4,6,True,25,1,67029,0,0,0,0,592152,592153,592154,592155,592156,True
2293785,52,41,0,0,0,61,40,34,32,13,11,7,True,25,1,66053,0,0,0,0,592157,592158,592159,592160,592161,False
2293786,61,50,45,0,0,62,41,39,49,0,6,0,True,30,1,0,0,0,0,0,592162,592163,592164,592165,592166,False
2293787,66,56,53,0,0,63,58,48,43,0,12,0,True,30,2,66219,66220,66221,2200,300,592167,592168,592169,592170,592171,False
2293788,67,28,22,0,0,59,46,40,33,19,9,0,True,30,2,66219,66220,66221,600,1100,592172,592173,592174,592175,592176,False
2293789,62,45,0,0,0,67,52,46,34,3,13,0,True,30,1,66558,0,0,0,0,592177,592178,592179,592180,592181,True
2293790,64,61,47,0,0,42,31,32,37,27,12,0,True,30,1,0,0,0,0,0,592182,592183,592184,592185,592186,False
2293791,34,61,0,0,0,29,60,47,39,45,1,1,True,30,1,66241,0,0,0,0,592187,592188,592189,592190,592191,False
2293792,63,56,49,0,0,65,66,55,31,30,14,5,True,30,1,66053,0,0,0,0,592192,592193,592194,592195,592196,True
2293793,65,54,41,0,0,58,50,49,38,0,4,6,True,30,2,66219,66220,66221,1400,1900,592197,592198,592199,592200,592201,False
2293794,50,19,80,0,0,49,33,48,46,62,7,1,True,35,1,65964,0,0,1700,530,592268,592269,592270,592271,592272,False
