key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,byte,bit&01,bit&02,uint16,byte,byte,byte,byte,bit&04,byte,byte,byte,byte,str,uint16,uint16,uint32,byte,byte,bit&08,uint32,bit&10,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,bit&20,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,uint32,uint32,sbyte,int32
0,0,0,0,0,True,False,60,1,100,4,1,False,0,0,0,0,"",0,18,0,0,0,False,0,True,1,0,0,0,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
1,2,1,0,0,True,False,90,24,27,4,1,False,1,1,1,1,"the Thousand Maws of Toto–Rak",0,18,22,0,0,True,2281258,True,3,169,112005,0,0,444,1200,1203,5,False,1000,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,53288,550,0,-1,0
2,2,1,0,0,True,False,90,16,19,4,1,False,1,1,1,1,"the Tam–Tara Deepcroft",0,18,17,0,0,True,1958540,True,4,164,112002,1003,1004,73,1000,1004,2,False,1000,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,32156,400,0,-1,0
3,2,1,0,0,True,False,90,17,20,4,1,False,1,1,1,1,"Copperbell Mines",0,18,177,0,0,True,2790145,True,3,161,112003,2704,2705,101,2700,2705,3,False,1000,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,39690,400,0,-1,0
4,2,1,0,0,True,False,90,15,18,4,1,False,1,1,1,1,"Sastasha",0,18,174,0,0,True,3283219,True,4,157,112001,2504,2505,1206,2500,2505,1,False,1000,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,30870,400,6,-1,0
5,2,1,0,0,True,False,90,47,49,4,1,False,1,1,1,1,"the Aurum Vale",0,18,316,0,0,True,3619405,True,3,172,112014,0,0,1532,2900,2903,12,False,2400,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,131969,2400,4,-1,0
6,2,1,0,0,True,False,90,28,31,4,1,False,1,1,1,1,"Haukke Manor",0,18,18,0,0,True,3633039,True,3,166,112006,0,0,422,1100,1103,6,False,1000,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,62244,700,11,-1,0
7,2,1,0,0,True,False,90,20,23,4,1,False,1,1,1,1,"Halatali",0,18,180,0,0,True,4097951,True,3,162,112004,0,0,1197,2405,2407,4,False,1000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,45570,450,0,-1,0
8,2,1,0,0,True,False,90,32,34,4,1,False,1,1,1,1,"Brayflox's Longstop",0,18,183,0,0,True,3998421,True,4,158,112007,0,0,1279,2400,2403,7,False,1000,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,77396,900,0,-1,0
9,2,1,0,0,True,False,90,35,37,4,1,False,1,1,1,1,"the Sunken Temple of Qarn",0,18,304,0,0,True,4064743,True,3,163,112009,0,0,1570,3500,3509,8,False,1200,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,89303,1200,0,-1,0
10,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"the Wanderer's Palace",0,18,301,0,110,True,4177426,True,3,159,112010,0,0,1547,2800,2804,13,False,0,0,30,10,5,4,6,0,0,0,0,0,0,0,0,0,3000,2,-1,0
11,2,1,0,0,True,False,90,41,43,4,1,False,1,1,1,1,"the Stone Vigil",0,18,298,0,0,True,4239689,True,3,168,112012,0,0,1680,4400,4402,10,False,1800,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,110849,1800,14,-1,0
12,2,1,0,0,True,False,90,38,40,4,1,False,1,1,1,1,"Cutter's Cry",0,18,310,0,0,True,3690171,True,3,170,112011,0,0,1590,3400,3402,9,False,1500,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,102060,1500,13,-1,0
13,2,1,0,0,True,False,90,44,46,4,1,False,1,1,1,1,"Dzemael Darkhold",0,18,313,0,0,True,4229622,True,3,171,112013,0,0,1396,2904,2906,11,False,2100,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,117369,2100,5,-1,0
14,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Amdapor Keep",0,18,307,0,110,True,4246570,True,3,167,112015,0,0,1696,4500,4502,16,False,0,0,30,10,5,4,6,0,0,0,0,0,0,0,0,0,3000,9,-1,0
15,2,3,0,0,True,False,120,50,50,8,1,False,2,2,2,2,"Castrum Meridianum",148,18,266,0,0,True,4248047,True,5,217,112016,0,0,0,3900,3918,14,False,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0,0,3000,16,-1,0
16,2,3,0,0,True,False,120,50,50,8,1,False,2,2,2,2,"the Praetorium",149,18,279,0,0,True,4301613,True,6,224,112017,0,0,0,4000,4050,15,False,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0,0,3000,17,-1,0
17,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Pharos Sirius",1115,18,405,48,110,True,4378111,True,4,160,112027,0,0,2265,4600,4612,17,False,0,0,40,15,10,5,10,0,0,0,0,0,0,0,0,0,3000,8,-1,0
18,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Copperbell Mines (Hard)",17,18,419,48,110,True,4481318,True,3,349,112025,0,0,2289,4800,4812,18,False,0,0,40,15,10,5,10,0,0,0,0,0,0,0,0,0,3000,0,-1,0
19,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Haukke Manor (Hard)",17,18,422,48,110,True,4497567,True,3,350,112026,0,0,2346,5000,5007,19,False,0,0,40,15,10,5,10,0,0,0,0,0,0,0,0,0,3000,12,-1,0
20,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Brayflox's Longstop (Hard)",17,18,499,55,110,True,4543710,True,3,362,112048,5305,5306,2547,5300,5308,22,False,0,0,50,20,15,7,13,0,0,0,0,0,0,0,0,0,3000,0,-1,0
21,2,2,0,0,True,False,90,50,50,4,1,False,1,1,1,1,"Halatali (Hard)",1123,18,496,55,110,True,4569373,True,3,360,112049,0,0,1197,5100,5116,21,False,0,0,50,20,15,7,13,0,0,0,0,0,0,0,0,0,3000,0,-1,0
