key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,uint32,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"Emphatic talk shape, conversation motion.","Document talk shape, looped behavior gestures.","Eerie talk shape, looped angry gestures."
589825,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Y!","R!","P!"
589827,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Ahhh, that was grrreat! <burp>","I tell ye, ain't no place what serves tastier meals than here!","0"
589828,0,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Handing over item.)","Shifting to “behavior reaction greeting.”","0"
589829,0,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Receiving item.)","Shifting to “behavior reaction thinking.”","0"
589830,0,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Conversation item.)","Shifting to “behavior reaction anger.”","0"
589831,0,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Normal seated → normal stance → standing reaction.","0","0"
589832,0,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Flashy stance → normal stance → standing reaction.","0","0"
589833,0,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Flashy seated → normal seated → normal stance → standing reaction.","0","0"
589834,0,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Unique → normal stance → standing reaction.","0","0"
589835,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I can see the sky! Wonderful!","0","0"
589836,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"As you can see, I am a minstrel.","Mayhap I can play for you a sweet lullaby?","0"
589837,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I am a giver of quests, nothing more and nothing less.","0","0"
589838,0,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"Page break test, here we go! Page ONE!","Page TWO!","Page THREE!"
589839,0,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Line break test, are you ready!?
Bam! It is done!","0","0"
589840,0,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Hey, did you know? There's a place in Meguro where you can gorge yourself on meat of unrivaled epicness.","0","0"
589841,0,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Just testing some default talk. Nothing to see here.","0","0"
589842,0,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I'm testing some default talk! Don't bother me!","0","0"
589843,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"It is a default talk test.","0","0"
589844,0,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I don't believe I've seen your face before. New to Gridania, I take it?","Then you're required to register at the Carline Canopy. Don't let me catch you strolling about until you've done so.","0"
