key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,uint16,byte,uint16,byte,int16,uint16,byte,sbyte,byte,sbyte,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,sbyte,bit&02,bit&04,byte,byte,byte,bit&08,byte,uint16,byte,uint16,uint16,bit&10,uint16,uint16,byte,sbyte,byte,byte,uint16,byte,byte,byte,bit&20,bit&40,byte,bit&80,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80
0,"","",705,0,0,0,0,0,0,-1,0,0,False,False,False,False,False,False,False,False,False,0,True,True,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,0,0,0,0,0,False,False,0,False,False,False,True,True,True,False,False,True
1,"Key Item","",705,8,83,0,85,1875,0,0,0,3,False,False,False,True,False,True,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,False,0,0,0,0,0,0,0,0,1,0,False,False,0,False,False,False,True,True,True,False,False,True
2,"Interaction","",705,8,92,0,0,1875,0,0,0,3,False,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,0,1,0,False,False,0,False,False,False,True,True,True,False,False,True
3,"Sprint","",705,0,0,0,368,1875,0,0,0,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,6,0,0,0,0,False,0,300,56,0,0,0,0,0,1,0,False,False,0,False,False,False,True,True,True,False,False,True
4,"Mount","",705,5,83,0,165,1875,0,0,0,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,10,0,0,0,0,0,0,0,1,0,False,False,0,False,False,False,True,True,True,False,False,True
5,"Teleport","",111,10,92,106,164,1875,0,0,0,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,0,0,0,0,0,0,4,1,0,False,False,0,False,False,False,True,True,True,False,False,True
6,"Return","",112,10,92,107,163,1875,0,0,0,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,False,50,9000,57,0,0,0,0,1,1,0,False,False,0,False,False,False,True,True,True,False,False,True
7,"Attack","",705,1,0,0,-1,1875,0,0,0,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,-1,7,0,0,0,1,0,False,False,0,False,False,False,True,True,True,False,False,True
8,"Shot","Delivers a ranged attack. Recast time varies with delay value of main hand weapon.",705,1,0,0,-2,1876,0,0,0,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,0,0,0,0,0,True,0,0,0,-1,7,0,0,0,0,0,False,False,0,False,False,False,True,True,True,False,False,True
9,"Fast Blade","Delivers an attack with a potency of 150.",208,3,0,0,310,1875,0,1,1,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,5,70,0,0,0,False,0,25,58,-1,7,0,0,0,38,2,False,False,0,False,False,False,True,True,True,False,False,True
10,"Rampart","Reduces damage taken by <If(GreaterThanOrEqualTo(PlayerParameter(72),14))><If(Equal(PlayerParameter(68),1))>20<Else/><If(Equal(PlayerParameter(68),19))>20<Else/>10</If></If><Else/>10</If>%.  <Color(52258)>Duration:</Color> 20s",202,4,0,0,369,1875,0,1,2,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,900,5,0,0,0,0,0,38,1,False,False,0,False,False,False,True,True,True,False,False,True
11,"Savage Blade","Delivers an attack with a potency of 100.
<Color(52258)>Additional Effect:</Color> Increased enmity
<Color(52258)>Combo Action:</Color> Fast Blade  <Color(52258)>Combo Potency:</Color> 200",207,3,0,0,311,1875,206,1,4,-1,False,False,False,True,False,False,False,False,False,0,True,True,1,0,0,True,5,60,0,0,9,False,0,25,58,-1,7,0,0,0,39,2,False,False,0,False,False,False,True,True,True,False,False,True
12,"Convalescence","Increases HP recovery via healing magic by <If(GreaterThanOrEqualTo(PlayerParameter(72),32))><If(Equal(PlayerParameter(68),1))>30<Else/><If(Equal(PlayerParameter(68),19))>30<Else/>20</If></If><Else/>20</If>% for self.  <Color(52258)>Duration:</Color> 20s",212,4,0,0,370,1875,0,1,10,0,True,False,False,False,False,False,False,False,False,0,True,True,1,0,0,False,0,0,0,0,0,True,0,1200,7,0,0,0,0,0,37,1,False,False,0,False,False,False,True,True,True,False,False,True
