key,0,1,2,3,4,5,6,7,8,9,10
#,,,,,,,,,,,
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,byte
101,2,1,1,0,0,"/chatmode","/cm","/chatmode, /cm
USAGE: /chatmode [chat mode]
→Set the default chat mode.
>>Example:
  /chatmode party
  (Changes default chat mode to [Party].)
The default mode will be deactivated after a single message if it is set to [Shout].
When setting the default mode to [Tell], you are still required to enter the recipient PC's name.
If no chat mode is specified, the current default setting will be displayed.","","",1
102,1,0,0,0,0,"/say","/s","/say, /s
USAGE: /say [message]
→Sends a message to all PCs within a small radius.
The message will not be displayed if a PC has deselected [Say] in the chat filter.
Typing /say or /s without a message switches the default chat mode to [Say].","","",3
103,1,0,0,0,0,"/shout","/sh","/shout, /sh
USAGE: /shout [message]
→Sends a message to all PCs in the same area.
The message will not be displayed if a PC has deselected [Shout] in the chat filter.","","",1
104,3,0,0,0,0,"/tell","/t","/tell, /t
USAGE: /tell [PC name] [message]
→Sends a message to a specific PC within the same World.
This message cannot be seen by other PCs, and will not be displayed if [Tell] is deselected in the chat filter.
Typing /tell or /t [PC name] without a message switches the default chat mode to [Tell].","","",1
105,1,0,0,0,0,"/party","/p","/party, /p
USAGE: /party [message]
→Sends a message to all members of your current party, regardless of their location.
The message will not be displayed if a PC has deselected [Party] in the chat filter.
Typing /party or /p without a message switches the default chat mode to [Party].","/party","/p",1
106,1,0,0,0,0,"/linkshell","/l","/linkshell, /l
USAGE: /linkshell [message]
→Sends a message to all members of your active linkshell, regardless of their location.
Typing /linkshell or /l without a message switches the default chat mode to [Linkshell].","","",1
107,1,0,0,0,0,"/linkshell1","/l1","/linkshell1, /l1
USAGE: /linkshell1 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 1, regardless of their location.","","",1
108,1,0,0,0,0,"/linkshell2","/l2","/linkshell2, /l2
USAGE: /linkshell2 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 2, regardless of their location.","","",1
109,1,0,0,0,0,"/linkshell3","/l3","/linkshell3, /l3
USAGE: /linkshell3 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 3, regardless of their location.","","",1
110,1,0,0,0,0,"/linkshell4","/l4","/linkshell4, /l4
USAGE: /linkshell4 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 4, regardless of their location.","","",1
111,1,0,0,0,0,"/linkshell5","/l5","/linkshell5, /l5
USAGE: /linkshell5 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 5, regardless of their location.","","",1
112,1,0,0,0,0,"/linkshell6","/l6","/linkshell6, /l6
USAGE: /linkshell6 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 6, regardless of their location.","","",1
113,1,0,0,0,0,"/linkshell7","/l7","/linkshell7, /l7
USAGE: /linkshell7 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 7, regardless of their location.","","",1
114,1,0,0,0,0,"/linkshell8","/l8","/linkshell8, /l8
USAGE: /linkshell8 [message]
→Sends a message to all members of the linkshell you have registered in linkshell slot 8, regardless of their location.","","",1
115,1,0,0,0,0,"/freecompany","/fc","/freecompany, /fc
USAGE: /freecompany [message]
→Sends a message to all members of your free company, regardless of their location.
Typing /freecompany or /fc without a message switches the default chat mode to [Free Company].","","",1
116,1,0,0,0,0,"/echo","/e","/echo, /e
USAGE: /echo [message]
→Displays a message that only you can see.","","",1
117,1,0,0,0,0,"/yell","/y","/yell, /y
USAGE: /yell [message]
→Sends a message to all PCs within a large radius.
The message will not be displayed if a PC has deselected [Yell] in the chat filter.
Typing /yell or /s without a message switches the default chat mode to [Yell].","","",1
121,3,1,2,0,0,"/partycmd","/pcmd","/partycmd, /pcmd
USAGE: /partycmd [subcommand]
→Executes various party commands.
>>Subcommands:
  <Color(-154)>add “PC name”</Color>  Invite a PC to your party.
  <Color(-154)>leave</Color>  Leave your current party.
  <Color(-154)>kick “PC name”</Color>  Oust a PC from your party.
  <Color(-154)>breakup</Color>  Dissolve your current party.","","",0
122,1,0,0,0,0,"/join","","USAGE: /join
→Accepts a party invite.","","",0
123,1,0,0,0,0,"/decline","","USAGE: /decline
→Declines a party invite.","","",0
