key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,int32,byte,byte,byte,bool,uint16,uint16,uint16,uint16
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,False,100,100,100,0
1,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,False,50,100,67,0
2,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
3,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
4,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
5,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,False,50,100,67,0
6,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
7,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
8,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
9,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
10,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
11,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
12,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
13,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
14,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
15,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
16,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
17,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
18,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
19,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
20,1,9,1752,1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
21,1,9,2329,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
22,1,10,2356,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
23,1,10,2381,1,5056,1,5091,1,4856,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
24,1,10,2482,1,5056,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
25,1,10,2342,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
26,1,10,2393,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
27,1,11,2431,1,5056,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
28,1,11,2560,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
29,1,11,2368,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
30,1,11,2521,1,5056,1,5324,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
31,1,11,2418,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
32,1,12,2508,1,5056,1,5364,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
33,1,12,2534,1,5056,1,5364,1,5503,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
34,1,12,2316,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
35,1,12,2547,1,5056,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
36,1,12,2394,1,5056,1,5091,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0
37,1,13,1684,1,5056,2,5276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
38,1,13,1605,1,5056,1,5276,1,5434,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
39,1,14,1753,1,5056,3,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
40,1,14,2419,1,5056,1,5364,1,5258,1,5063,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
41,1,15,2343,1,5056,1,5325,1,5364,1,5483,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
42,1,15,2369,1,5056,1,5071,1,5364,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
43,1,16,5057,1,5111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,False,50,100,58,0
44,1,16,2522,1,5056,1,5276,1,5432,1,5352,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
45,1,16,1607,1,5056,1,5367,1,5432,1,5063,1,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
46,1,16,2317,1,5056,1,5092,1,5367,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
47,1,16,1686,1,5056,2,5276,1,5063,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
48,1,17,1754,1,5057,2,5364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,True,100,100,100,0
