key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,bool,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,int32,str,str,str,str,str,str
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Did ya bring it?","Thanks!","Oh...","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Have you completed the order?","Excellent!","Then get to it!","Would you like to make more?","If you change your mind, let me know!","Thank you for everything!"
3,True,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Here for the job, are you? Then there's no need for pleasantries. Show me your work.","Let me see here...
Hm... I believe this will do. Here is the payment promised.","I have nothing more to say until you've completed my order.","0","0","0"
4,True,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Ah, you must be the adventurer the guild said they would send. I have been ever so eagerly awaiting your arrival. Might you have the delivery on your person?","Excellent. You are to be commended, good <If(PlayerParameter(4))>lady<Else/>sir</If>. I believe this should be sufficient remuneration for your services.","Well, then. Take your time. I do not wish to see you sacrifice quality if it only means I save a few bells. You know where I will be.","0","0","0"
5,True,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Your arrival here this <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>night<Else/>morn</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>night</If></If> was foretold in the stars. You have something to...deliver, don't you?","Ah, yes, your success was never in question. The universe is pleased and grants you your reward.","Shhh. Hush, now. The Spinner has decreed your path. Craft away, my child. Craft away.","But wait... What is this I sense? A desire to craft more?","Could it be that the stars were wrong? Bah! I have a feeling you will be back, my child, and I shall be here waiting when you do.","A thousand thanks, my child! Until our paths cross again!"
6,False,False,False,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"Have you completed my request? I know you adventurers are the busy sort, but I, too, have deadlines to meet.","A fine display of synthesis. I must extend to you my admiration and gratitude...in the form of a reward, of course.","Well, may the Builder watch over your endeavors. But remember, Black Rabbit Traders <Emphasis>also</Emphasis> appreciate promptness.","Now, if it is further employment that you seek, I would be willing to make you a similar offer for more of the same item. What say you?","Very well. You know where to find me, should you come to your senses.","My thanks, adventurer. Good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>evening<Else/>day</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>evening</If></If>."
7,True,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"So it is you that accepted my unit's request. Very well, then. Let us see what you have brought us.","Yes, yes... This appears to meet Wood Wailer standards. You have my unit's thanks, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Let me prepare your reward forthwith.","My men and I require those supplies immediately. Every moment you tarry puts us in danger of being unprepared for an attack.","0","0","0"
8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"From the Adventurers' Guild, are you? Very good, very good.","Finished, are we? Let me take a look.
Yes... Yes... Very good. Very good, indeed. You have done a fine job today, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. My superiors at the Consortium will be pleased, to say the least.","The Brugaire Consortium is known for the expediency with which it fills its orders. If you refuse to complete the items I have requested, I will simply hire another adventurer to do my bidding. Gods know there are more than enough of you running around this city to choose from.","And, I believe they would be even <Emphasis>more</Emphasis> pleased if I were to return to the warehouses with a healthy surplus of the requested goods. You seem competent enough in your chosen trade. Would you consider contributing a few more whacks of the proverbial hammer in service of Brugaire?","I see. Off with you then. I am a busy man, and my clients are waiting.","You have served the Consortium well. I shall duly note your contributions in my log. Good <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>night<Else/>day</If><Else/><If(LessThan(PlayerParameter(11),17))>day<Else/>night</If></If>, then."
9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I thank you very much for accepting my request. I fancy myself a decent craftswoman, yet there are some fields in which I have found employing the services of another can often prove most fortuitous for both parties.","Wonderful! Your reputation for quality proceeds you. I shall remember you if I happen to require assistance again.","Have you completed my request? I know you adventurers are the busy sort, but I, too, have deadlines to meet.","0","0","0"
