key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,,,,,,,,,,,,,,
int32,byte,byte,bool,byte,byte,byte,bool,str,byte,byte,byte,byte,bool,bool,sbyte,bool,bool
0,0,0,False,0,0,0,False,"",0,0,0,0,False,False,-1,True,False
1,0,0,False,0,1,0,False,"battle/battle_start",0,0,0,2,False,False,-1,True,False
2,0,0,False,0,1,0,False,"battle/battle_end",0,0,0,1,False,False,-1,True,False
3,0,0,True,0,0,0,False,"normal/idle",0,2,0,2,False,False,-1,True,False
4,0,0,False,0,0,0,False,"normal/idle_inactive1",0,2,0,2,False,False,-1,True,False
5,0,0,False,0,0,0,False,"",0,0,0,0,False,False,-1,False,False
6,0,0,False,0,0,0,False,"",0,0,0,0,False,False,-1,False,False
7,0,0,True,0,0,0,False,"normal/turn_loop_l",0,2,0,2,False,False,-1,True,False
8,0,0,True,0,0,0,False,"normal/turn_loop_r",0,2,0,2,False,False,-1,True,False
9,0,0,False,0,0,0,False,"normal/turn_l",0,2,0,2,False,False,-1,True,False
10,0,0,False,0,0,0,False,"normal/turn_r",0,2,0,2,False,False,-1,True,False
11,0,0,False,0,0,0,False,"normal/turn_bl",0,2,0,2,False,False,-1,True,False
12,0,0,False,0,0,0,False,"normal/turn_br",0,2,0,2,False,False,-1,True,False
13,0,0,True,0,0,0,False,"normal/walk",0,2,0,2,False,False,-1,True,False
14,0,0,True,0,0,0,False,"normal/walk_l",0,2,0,2,False,False,-1,True,False
15,0,0,True,0,0,0,False,"normal/walk_r",0,2,0,2,False,False,-1,True,False
16,0,0,True,0,0,0,False,"normal/walk_b",0,2,0,2,False,False,-1,True,False
17,0,0,False,0,0,0,False,"normal/walk_start",0,2,0,2,False,False,-1,True,False
18,0,0,False,0,0,0,False,"normal/walk_start_br",0,2,0,2,False,False,-1,True,False
19,0,0,False,0,0,0,False,"normal/walk_start_bl",0,2,0,2,False,False,-1,True,False
20,0,0,False,0,0,0,False,"normal/walk_end_l",0,2,0,2,False,False,-1,True,False
21,0,0,False,0,0,0,False,"normal/walk_end_r",0,2,0,2,False,False,-1,True,False
22,0,0,True,0,0,0,False,"normal/run",0,2,0,2,False,False,-1,True,False
23,0,0,True,0,0,0,False,"normal/run_l",0,2,0,2,False,False,-1,True,False
24,0,0,True,0,0,0,False,"normal/run_r",0,2,0,2,False,False,-1,True,False
25,0,0,False,0,0,0,False,"normal/run_start",0,2,0,2,False,False,-1,True,False
26,0,0,False,0,0,0,False,"normal/run_start_br",0,2,0,2,False,False,-1,True,False
27,0,0,False,0,0,0,False,"normal/run_start_bl",0,2,0,2,False,False,-1,True,False
28,0,0,False,0,0,0,False,"normal/run_end_l",0,2,0,2,False,False,-1,True,False
29,0,0,False,0,0,0,False,"normal/run_end_r",0,2,0,2,False,False,-1,True,False
30,0,0,True,0,0,0,False,"normal/sprint",0,2,0,2,False,False,-1,True,True
31,0,0,False,0,0,0,False,"normal/jump_start",0,2,0,2,False,False,-1,True,False
32,0,0,False,0,0,0,False,"normal/jump_falling",0,2,0,2,False,False,-1,True,False
33,0,0,False,0,0,0,False,"normal/jump_landing",0,2,0,2,False,False,-1,True,False
34,0,0,True,0,0,2,False,"battle/idle",0,1,0,1,False,False,-1,True,False
35,0,0,True,0,0,0,False,"battle/turn_loop_l",0,1,0,1,False,False,-1,True,False
36,0,0,True,0,0,0,False,"battle/turn_loop_r",0,1,0,1,False,False,-1,True,False
37,0,3,True,0,0,1,False,"event_base/event_base_knee_suffering",1,2,1,2,True,False,-1,True,False
