key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,bool,bool,bool,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte,byte,byte,byte,str,str,str,str,str,str,str,str
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"テストトーク１","テストトーク2","","","","","",""
2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,6,0,0,0,0,0,0,"FATE 受注テスト","FATEを開始しますか？","","","FATE 開始","","FATE 開始しない",""
3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,5,0,0,0,0,0,0,"FATE 納品テスト","","","","FATE 納品OK","","FATE 納品CANCEL",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,6,0,0,0,0,0,0,"君！　収穫を手伝ってくれないか！急がないと大切な果実をオポオポに取られてしまうよ！","収穫を手伝いますか？

<Color(-34022)>※このF.A.T.E.の推奨レベルは<Value>IntegerParameter(1)</Value>です。</Color>","","","頼んだよ！","","そうかい。じゃあ、ほかの人に頼むよ。",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,5,0,0,0,0,0,0,"果実を持ってきてくれたのかい？","","","","ありがとう！","","おや、違うのかい。",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"果実を集めて持ってきてくれ！","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,6,0,0,0,0,0,"Vile poachers! They seek to hide their trophies so that they might return and collect them once we have gone.","We must stop them at any cost! Please, good <If(PlayerParameter(4))>lady<Else/>sir</If>. Lend us your blade!","Assist in recovering the poached hides?","","Good luck, and may the Matron bless you!","","Very well. We shall see to this task on our own.",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,5,0,0,0,0,0,0,"Were you able to recover any of the poached hides?","","","","You have my thanks, adventurer, but there may still be more poachers in the area.","","The area is still crawling with poachers. See if you cannot find them before they escape!",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hurry, adventurer! We must recover the hides before the poachers can hide them!","","","","","","",""
