key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,BNpcBase[1],PartSlot[1],,,,,X[1],Y[1],Z[1],,Scale[1],BNpcBase[2],PartSlot[2],,,,,X[2],Y[2],Z[2],,Scale[2],BNpcBase[3],PartSlot[3]
int32,BNpcBase,str,bool,bool,single,single,uint16,str,bool,bool,single,BNpcBase,uint16,str,bool,bool,single,single,uint16,str,bool,bool,BNpcBase,single
0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
1,266,"atr_parts_tail",True,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
2,642,"",False,True,0,0,642,"",False,True,0,0,0,"",False,False,0,0,0,"",False,False,0,0
3,1507,"atr_parts_heart",False,False,0,1.5,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
4,1508,"atr_parts_heart",False,False,0,1.5,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
5,1509,"atr_parts_heart",False,False,0,1.5,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
6,2042,"atr_parts_breast",True,False,0,0.5,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
7,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
8,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
9,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
10,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0,0,"",False,False,0,0
