key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Turn[0],Turn[1],Turn[2],Turn[3],Turn[4],Turn[5],Turn[6],Turn[7],Gesture[0],Gesture[1],Gesture[2],Gesture[3],Gesture[4],Gesture[5],Gesture[6],Gesture[7],LipSync[0],LipSync[1],LipSync[2],LipSync[3],LipSync[4],LipSync[5],LipSync[6],LipSync[7],Facial[0],Facial[1],Facial[2],Facial[3],Facial[4],Facial[5],Facial[6],Facial[7],Shape[0],Shape[1],Shape[2],Shape[3],Shape[4],Shape[5],Shape[6],Shape[7],IsAutoShake[0],IsAutoShake[1],IsAutoShake[2],IsAutoShake[3],IsAutoShake[4],IsAutoShake[5],IsAutoShake[6],IsAutoShake[7],WidgetType[0],WidgetType[1],WidgetType[2],WidgetType[3],WidgetType[4],WidgetType[5],WidgetType[6],WidgetType[7],Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
int32,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,bool,bool,bool,bool,bool,bool,bool,bool,byte,byte,byte,byte,byte,byte,byte,byte,str,str,str,str,str,str,str,str
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"テストトーク１","テストトーク2","","","","","",""
2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,6,0,0,0,0,0,0,"FATE 受注テスト","FATEを開始しますか？","","","FATE 開始","","FATE 開始しない",""
3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,5,0,0,0,0,0,0,"FATE 納品テスト","","","","FATE 納品OK","","FATE 納品CANCEL",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,6,0,0,0,0,0,0,"君！　収穫を手伝ってくれないか！急がないと大切な果実をオポオポに取られてしまうよ！","収穫を手伝いますか？

<Color(-34022)>※このF.A.T.E.の推奨レベルは<Value>IntegerParameter(1)</Value>です。</Color>","","","頼んだよ！","","そうかい。じゃあ、ほかの人に頼むよ。",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,5,0,0,0,0,0,0,"果実を持ってきてくれたのかい？","","","","ありがとう！","","おや、違うのかい。",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"果実を集めて持ってきてくれ！","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,6,0,0,0,0,0,"Vile poachers! They seek to hide their trophies so that they might return and collect them once we have gone.","We must stop them at any cost! Please, good <If(PlayerParameter(4))>lady<Else/>sir</If>. Lend us your blade!","Assist in recovering the poached hides?

<Color(-34022)>※The recommended level for this FATE is <Value>IntegerParameter(1)</Value>.</Color>","","Good luck, and may the Matron bless you!","","Very well. We shall see to this task on our own.",""
