key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,Name,Description,Objective,StatusText[0],StatusText[1],StatusText[2],EurekaFate,Rule,FateRuleEx,Location,ClassJobLevel,ClassJobLevel{Max},EventItem,TypeToDoValue[0],TypeToDoValue[1],TypeToDoValue[2],Icon{Objective},Icon{Map},IconInactive{Map},Music,LGBGuardNPCLocation,ScreenImage{Accept},ScreenImage{Complete},ScreenImage{Failed}
int32,byte,int32,byte,byte,uint32,uint16,uint16,uint16,FateRuleEx,int32,int32,int32,EventItem,uint32,byte,byte,Image,Image,Image,BGM,str,ScreenImage,ScreenImage,ScreenImage
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
100,3,4082321,1,1,0,0,0,0,0,0,0,0,0,4082423,33,34,35,True,"","","","","",""
101,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
102,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"aaaa","","","","",""
103,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"エリア防衛","エリア防衛","","","",""
105,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"山賊砦テスト","山賊砦テスト","","","",""
106,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"収集系テスト","収集系テスト","","","",""
107,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"山賊砦ボス","山賊砦ボス","","","",""
108,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"山賊砦味方防衛","山賊砦味方防衛","","","",""
109,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"りんご集め","りんご集め","","納品した数","",""
110,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
111,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
112,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
113,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33,34,35,True,"","","","","",""
