key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Behavior,Battalion,LinkRace,Rank,Scale,ModelChara,BNpcCustomize,NpcEquip,Special,SEPack,,ArrayEventHandler,
int32,Behavior,Battalion,LinkRace,byte,single,ModelChara,BNpcCustomize,NpcEquip,uint16,byte,int32,ArrayEventHandler,bool
0,0,4,0,0,1,0,0,0,0,0,0,0,True
1,0,4,0,0,1,0,0,0,0,0,851980,0,True
2,0,4,0,0,1,96,0,0,0,0,851976,0,True
3,0,4,0,0,1.2,61,0,0,0,0,852023,0,True
4,0,4,0,0,1.3,62,0,0,0,0,852053,0,True
5,0,4,0,0,1.2,31,0,0,0,0,851987,0,True
6,0,4,0,0,1.2,32,0,0,0,0,851994,0,True
7,0,4,0,0,2,53,0,0,0,0,851997,0,True
8,0,4,0,0,2,54,0,0,0,0,852174,0,True
9,0,4,0,0,1,20,0,0,0,0,851984,0,True
10,0,4,0,0,1.5,21,0,0,0,0,851978,0,True
11,0,4,0,0,2,22,0,0,0,0,852199,0,True
12,0,4,0,0,1.5,39,0,0,0,0,851973,0,True
13,0,4,0,0,1.5,40,0,0,0,0,852137,0,True
14,0,4,0,0,0.9,46,0,0,0,0,851969,0,True
15,0,4,0,0,1.2,44,0,0,0,0,851995,0,True
16,0,4,0,0,1.2,45,0,0,0,0,851972,0,True
17,0,4,0,0,2,100,0,0,0,0,851971,0,True
18,0,4,0,0,1,0,81,462,0,0,851985,0,True
19,0,4,0,0,1,0,82,463,0,0,852075,0,True
20,0,4,0,0,1.5,17,0,416,0,0,851992,0,True
21,0,4,0,0,1.5,63,0,0,0,0,852040,0,True
22,0,4,0,0,2,48,0,0,0,0,851983,0,True
23,0,4,0,0,2,49,0,0,0,0,852024,0,True
24,0,4,0,0,1,104,0,0,0,0,852044,0,True
25,0,4,0,0,1,106,0,0,0,0,0,0,True
26,0,4,0,0,1.5,126,0,0,0,0,852030,0,True
27,0,4,0,0,1.5,127,0,0,0,0,852157,0,True
