key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,EXPBonus%,BaseParam[0],IsRelative[0],Value[0],Max[0],Value{HQ}[0],Max{HQ}[0],BaseParam[1],IsRelative[1],Value[1],Max[1],Value{HQ}[1],Max{HQ}[1],BaseParam[2],IsRelative[2],Value[2],Max[2],Value{HQ}[2]
int32,byte,BaseParam,sbyte,sbyte,sbyte,sbyte,byte,BaseParam,sbyte,sbyte,sbyte,sbyte,byte,BaseParam,sbyte,sbyte,sbyte,sbyte
0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
1,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0
2,46,True,8,2,10,3,3,False,1,0,1,0,22,False,1,0,1,0
3,27,True,8,2,10,3,3,False,1,0,1,0,22,False,1,0,1,0
4,11,True,10,10,13,12,0,False,0,0,0,0,0,False,0,0,0,0
5,45,True,8,2,10,3,3,False,1,0,1,0,22,False,1,0,1,0
6,19,True,8,2,10,3,3,False,1,0,1,0,22,False,1,0,1,0
7,3,False,1,0,1,0,0,False,0,0,0,0,0,False,0,0,0,0
8,3,False,1,0,1,0,0,False,0,0,0,0,0,False,0,0,0,0
9,6,False,1,0,1,0,3,False,1,0,1,0,22,False,1,0,1,0
10,22,True,8,3,10,4,3,False,1,0,1,0,45,False,1,0,1,0
11,22,True,8,3,10,4,3,False,1,0,1,0,46,False,1,0,1,0
12,44,False,1,0,1,0,3,False,1,0,1,0,22,False,1,0,1,0
13,22,True,8,3,10,4,3,True,4,2,5,2,46,False,1,0,1,0
14,22,True,8,3,10,4,3,True,4,2,5,2,27,False,1,0,1,0
15,10,True,6,19,7,24,72,True,2,2,3,3,0,False,0,0,0,0
16,73,True,6,6,7,7,0,False,0,0,0,0,0,False,0,0,0,0
17,46,True,8,4,10,5,3,True,4,2,5,2,22,True,2,2,2,2
18,45,True,8,4,10,5,3,True,4,2,5,2,22,True,2,2,2,2
19,45,True,8,4,10,5,3,True,4,2,5,3,27,True,2,2,2,2
20,46,True,8,4,10,5,3,True,4,2,5,3,27,True,2,2,2,2
21,73,True,6,6,7,7,10,True,2,8,3,10,0,False,0,0,0,0
22,72,True,6,6,7,7,73,True,2,2,3,3,0,False,0,0,0,0
23,71,True,8,4,10,5,0,False,0,0,0,0,0,False,0,0,0,0
24,22,True,8,5,10,6,3,True,4,2,5,3,45,True,2,2,2,2
25,27,True,8,5,10,6,3,True,4,2,5,3,44,False,1,0,1,0
26,45,True,8,5,10,6,3,True,4,2,5,3,19,True,2,2,2,2
27,3,True,8,2,10,3,0,False,0,0,0,0,0,False,0,0,0,0
28,10,True,6,20,7,25,73,True,2,2,3,3,0,False,0,0,0,0
29,73,True,6,6,7,8,72,True,2,2,3,3,0,False,0,0,0,0
30,19,True,8,5,10,6,3,True,4,3,5,4,22,True,2,2,2,3
31,71,True,8,8,10,10,0,False,0,0,0,0,0,False,0,0,0,0
32,72,True,6,7,7,9,10,True,2,8,3,10,0,False,0,0,0,0
33,44,True,8,3,10,4,3,True,4,3,5,4,22,True,2,2,2,3
34,22,True,7,7,9,9,3,True,4,4,5,5,27,True,2,2,2,3
35,6,True,8,3,10,4,3,True,4,3,5,4,46,True,2,2,2,3
36,10,True,6,21,7,26,72,True,2,3,3,4,0,False,0,0,0,0
37,45,True,8,6,10,7,3,True,4,3,5,4,27,True,2,2,2,3
