key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
#,Number,CraftType,RecipeLevelTable,Item{Result},Amount{Result},Item{Ingredient}[0],Amount{Ingredient}[0],Item{Ingredient}[1],Amount{Ingredient}[1],Item{Ingredient}[2],Amount{Ingredient}[2],Item{Ingredient}[3],Amount{Ingredient}[3],Item{Ingredient}[4],Amount{Ingredient}[4],Item{Ingredient}[5],Amount{Ingredient}[5],Item{Ingredient}[6],Amount{Ingredient}[6],Item{Ingredient}[7],Amount{Ingredient}[7],RecipeNotebookList,DisplayPriority,IsSecondary,MaterialQualityFactor,DifficultyFactor,QualityFactor,DurabilityFactor,RequiredQuality,RequiredCraftsmanship,RequiredControl,QuickSynthCraftsmanship,QuickSynthControl,SecretRecipeBook,Quest
int32,int32,CraftType,RecipeLevelTable,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,Item,int32,RecipeNotebookList,int32,byte,byte,uint16,bool,uint16,uint16,uint16,uint16,uint16,uint16,SecretRecipeBook,Quest
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,False,100,100,100,0,0,0,True,True
1,1,1,5056,1,5106,2,5107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,False,50,100,67,0,0,0,True,True
2,1,1,2546,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
3,1,2,1602,1,5056,1,5361,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
4,1,2,2355,1,5056,2,5275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
5,1,3,5091,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,False,50,100,67,0,0,0,True,True
6,1,3,1750,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
7,1,3,2380,1,5056,1,5091,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
8,1,4,2430,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
9,1,4,2315,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
10,1,5,2328,1,5056,1,5361,1,5482,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
11,1,5,2341,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
12,1,5,2367,1,5056,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
13,1,6,2507,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
14,1,6,2481,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
15,1,7,1603,1,5056,1,5275,1,5432,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
16,1,7,2392,1,5056,1,5091,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
17,1,7,1751,1,5056,2,5361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
18,1,8,2520,1,5056,1,5324,1,5361,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
19,1,8,2417,1,5056,1,5361,1,5258,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,100,100,100,0,0,0,True,True
20,1,9,1752,1,1750,1,5056,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,True,150,75,100,0,0,0,False,True
